#key	synopsis
5 in One FunPak (USA)	5 in One Fun Pak ist eine Sammlung bekannter Spiele für das Sega Game Gear. Enthalten sind Versionen von Schach, Dame, Backgammon, Reversi und Yacht (unter Verwendung der Regeln von Yahtzee), und der Spieler kann wählen, ob er gegen den Computer oder einen anderen Menschen spielen möchte. Jedes Spiel (außer Yacht) hat Schwierigkeitseinstellungen. Das Spiel wurde 1994 exklusiv in Nordamerika veröffentlicht.
Aa Harimanada (Japan)	Aa Harimanada ist ein Sumo-Wrestling-Spiel von Sega aus dem Jahr 1993 für Sega Game Gear und Sega Mega Drive, das an den Anime Aa Harimanada von TV Tokyo anknüpft. Das Spiel ist ein typisches Kampfspiel, bei dem verschiedene Tastenkombinationen etwas anderes bewirken. Die Mega Drive-Version verfügt über ein Passwortsystem und einen Zwei-Spieler-Versus-Modus.
Addams Family, The (World)	Morticia wurde gekidnappt! Uncle Fester hat sein Gedächtnis verloren und steht im Bann der hinterhältigen Abigail Craven. Gomez ist der einzige, der die Situation retten kann, indem er sich schließlich dem bösen Judge stellt! Kannst Du diesen grousig-gruseligen Endkampf gewinnen?
Adventures of Batman & Robin, The (USA, Europe, Brazil) (En)	„The Adventures of Batman & Robin“ ist ein Plattformspiel auf Game Gear. Spielen Sie als Batman und sein treuer Kumpel Robin, die beide in diesem von Cartoons inspirierten Spiel ihre Gadgets nutzen, um den ruchlosen Mr. Freeze zu besiegen. Aber er wird nicht der einzige Feind sein, denn auch andere Schurken werden sich dem Kampf anschließen, darunter The Joker und Double Face.
Aerial Assault (World)	Dein Feind ist die tödliche Terroristenorganisation NAC! Fliege durch ihre Verteidigung, zerstöre ihre Fahrzeuge und stelle Dich der ultimativen Waffe!
Aladdin (USA, Europe, Brazil) (En)	Schlüpfen Sie in die Rolle von Aladdin. Tricksen Sie die Palastwachen aus. Widerstehen Sie den Versuchungen in der Höhle der Wunder und meistern Sie die Gefahren im Palast des Sultans. Wagen Sie einen atemberaubenden Ritt auf dem fliegenden Teppich und fordern Sie den bösen Jafar zu einem Duell mit Schwertern und Magie!
Alien 3 (USA, Europe)	Die Xenomorphe sind schell, spucken Säure und sind DIR ganz dicht auf den Fersen! Weit kannst du nicht sehen in diesem Luftschact. Das Atmen fällt dir schwer. Die Gesichstparaseiten können überall lauern. Du mußt unbedingt die Alien-Mutter finden! Je näher du kommst, desto mehr Aliens wirst du finden...Aber paß auf, daß die dichmicht zuerst entdecken! Sage dir einfach ständig in Gedanken: &quot;Das passiert ja nicht wirklich...Es ist nur ein Spiel!&quot;
Alien Syndrome (Europe)	Alien Syndrome auf dem Game Gear ist ein Actionspiel, das auf dem gleichnamigen Titel basiert, der für Arcade-Terminals erschienen ist. Wieder einmal machen Außerirdische den Menschen das Leben schwer. Deine Aufgabe ist es, alle gefangenen Personen zu retten und zu fliehen, bevor der Countdown abläuft, sonst explodierst du mit der Bombe, die du platziert hast. Am Ende kommt es zu einem epischen Kampf mit der Königinmutter der Außerirdischen.
Andre Agassi Tennis (USA)	André Agassi Tennis auf Game Gear ermöglicht es Ihnen, mit acht Spielern auf Rasen, Sand und einem schnellen Untergrund zu spielen. Der „Kid from Las Vegas“ ist der einzige echte Spieler, der anwesend ist. Schmetterbälle, Passwürfe, Volleys stehen auf dem Programm. Der Erfolg Ihrer Schläge hängt in diesem Spiel mit seinem anspruchsvollen Handling von der Präzision Ihrer Platzierung und Ihrem Timing ab.
Arcade Classics (USA)	Arcade Classics bietet drei klassische Atari-Titel. Es beinhaltet folgende Spiele: Missile Command, Centipede und Pong (Ultrapong: sowohl Pong als auch Hockey) Alle Spiele verfügen über wählbare Schwierigkeitsgrade. Sie enthalten einen klassischen Modus sowie einen Genesis-Modus (SEGA-Modus in der Game Gear-Version), der die Grafik verbessert und neue Soundeffekte hinzufügt.
Arch Rivals - The Arcade Game (USA)	Arch Rivals ist ein Basketballspiel auf Game Gear. Im Gegensatz zu anderen Sporttiteln legt Arch Rival keinen Wert darauf, sich an die Regeln zu halten. Im Gegenteil: Betrügen wird gefördert und alles ist möglich, um zu gewinnen! Machen Sie Fehler, um sich den Punkt zu sichern, und wählen Sie aus 12 verschiedenen Teams aus, um den Sieg zu erringen.
Archer Maclean's Dropzone (Europe)	In Dropzone auf Game Gear spielt der Spieler einen Astronauten, der mit einem Jetpack ausgestattet ist. Sie müssen helfen und gleichzeitig vermeiden, selbst Opfer der Außerirdischen zu werden, die Tricks anwenden, um Sie zu eliminieren. Dein Freund ist vielleicht nicht der, von dem du denkst...
Arena (USA, Europe)	Wir schreiben das Jahr 2026 und im Land herrscht Frieden. Die Regierung ist seit 19 Jahren an der Macht und das audiovisuelle Unternehmen Astralnet ernährt die Massen mit seiner kathodischen Masse. Allerdings ist die Situation bei näherer Betrachtung nicht so erfreulich und die Regierung klammert sich an die Macht, indem sie die Medien kontrolliert. Einer Gruppe von Rebellen fiel außerdem ein Videoband in die Hände, auf dem zu sehen ist, wie die Behörden und Astralnet-Manager entscheiden, welche Informationen verbreitet und zensiert werden sollen. Um die Bevölkerung aufzuwecken, müsste das Band über die Sender des Astralnet-Zentrums, genannt „The Arena“, ausgestrahlt werden, doch der Ort ist stark geschützt. Für diese Mission bräuchte es jemanden, der mutig ist.
Ariel - The Little Mermaid (USA, Europe, Brazil) (En)	Die kleine Meerjungfrau auf Game Gear lädt Sie ein, Ariel in einem Actionspiel zu spielen, in dem Ihr Ziel darin besteht, Ihre Freunde zu retten, die von der bösen Ursula verwandelt wurden. Hüten Sie sich vor Meeraalen, Muscheln und anderen Meeresbewohnern, die Ihnen bei Ihrer Aufgabe wahrscheinlich nicht weiterhelfen werden.
Asterix and the Great Rescue (USA, Brazil) (En)	Der Druide Miraculix und Idefix sind von den Römern entführt worden. Benutzen Sie Zaubertränke um Asterix und Obelix zu helfen, sich durch 5 Level bis nach Rom vorzukämpfen, um ihre Freunde aus Cäsars Fängen zu befreien.
Asterix and the Secret Mission (Europe) (En,Fr,De)	Miraculix, dem Druiden, ist der magische Trank ausgegangen! Wenn caesar davon Wind bekommt, bedeutet das mit Sicherheit eine Invasion. Asterix und Obelix machen sich daher auf den Weg, um die für den Trank benötigten Kräuter zu suchen. Dieser Auftrag führt sie durch alle möglichen von Römern heimgesuchten Gegenden ? Meere und Flüsse, Wälder und Wüsten, Tempel und Ruinen.
Ax Battler - A Legend of Golden Axe (USA, Europe, Brazil) (En)	Die Goldene Axt ist im Besitz von dem bösen Death Adder. Bringe slu zurück oder Firewood ist verloren!
Ayrton Senna's Super Monaco GP II (USA, Europe, Brazil) (En)	Erleben Sie die atemberaubende Action des Formel-1-Rennens auf den spannendsten Strecken der Welt! Sie sind am Steuer einer Präzisionsmaschine, bereit Ihr Können und Ihrem Mut bis zur Grenze zu fordern, um den tollsten Preis zu gewinnen: den Weltmeisterpokal!
Baku Baku (USA)	Das Spielsystem ähnelt Tetris. Blöcke, die Tiere (Hund, Panda, Affe, Kaninchen, Maus) oder ihre jeweiligen Nahrungsmittel (Knochen, Bambus, Banane, Karotte, Käse) darstellen, werden paarweise vorgeführt. Ziel des Spiels ist es, den Bildschirm des Gegners (mit einer Kapazität von 60 Blöcken) mit diesen Blöcken zu überhäufen, indem man sie so schnell wie möglich kombiniert, um Ketten zu bilden. Dieses Spiel mit unerschöpflichen Ressourcen basiert auf der Vorfreude der Spieler. Dieser muss nämlich die Blöcke kombinieren, um Kettenreaktionen auszulösen. Je wichtiger sie sind, desto mehr Blöcke fallen dem Gegner zu.
