#key	synopsis
20 em 1 (Brazil)	20 in 1 è una raccolta di giochi di Toy Tec che consente ai giocatori di scegliere tra 20 giochi diversi. Il titolo è stato rilasciato esclusivamente in Brasile come pacchetto di gioco, incluso nelle revisioni successive del. Sistema principale. Tutti i giochi ti danno 60 secondi per raggiungere un determinato punteggio, che varia da gioco a gioco. Nella maggior parte dei giochi gli unici pulsanti disponibili sono Sinistra e Destra, che spostano il personaggio nella rispettiva direzione, ma alcuni giochi ti consentono di eseguire un'azione, come saltare o sparare con il pulsante 1 o 2.
A-Team Music, The (Europe) (Proto) (Sound Data)	The A-Team è un gioco d'azione inedito per Sega Master System. Il gioco è basato su un programma televisivo con lo stesso titolo.
Ace of Aces (Europe, Brazil) (En)	Sorvolate l'Europa con il vostro aereo. L'armamento è stato scelto in base alla missione: munizioni per la mitragliatrice, razzi o granate, è importante non sovraccaricare l'aereo. Ace of Aces offre un'ampia gamma di opzioni di combattimento nel suo menu. Ognuno di essi corrisponde a una tecnica particolare: oltre al combattimento aereo, bisogna distruggere un treno merci e fermare i convogli marittimi. Queste ultime due situazioni consentono di utilizzare il portello di sgancio della bomba. È possibile navigare utilizzando la mappa e la bussola. Purtroppo, una volta scesi sotto il tetto delle nuvole, non ci si può aspettare di vedere il nemico attraverso l'abitacolo... Il treno o le navi sono visibili solo attraverso il portello ventrale dell'aereo, e solo quando si raggiunge la quota corrispondente.
Acerte o Alvo (Brazil) (Mega Drive 4)	Il tuo obiettivo è fare in modo che la palla raggiunga l'altro lato dello schermo. NnPer questo, devi lanciare la palla in modo che colpisca le pareti blu e quindi devia gli ostacoli. Ma fai attenzione! NnnnLa palla non può colpire le pareti rosse, o perderai la palla! nnSe perdi tutte le palline, perdi la partita! Attenzione e buona fortuna!
Action Fighter (Japan, Europe) (En)	Uno sparatutto a scorrimento verticale dall'alto verso il basso, in cui si inizia nei panni di una moto. All'inizio si è piuttosto vulnerabili agli attacchi, ma i potenziamenti si presentano sotto forma di un furgone Sega a cui bisogna attraccare. La prima volta che ci si attracca si ottiene il doppio fuoco, la seconda volta si ottiene un razzo, la terza un campo di forza posteriore e la quarta l'invulnerabilità. Distruggendo auto e moto che compaiono sul percorso, si possono raccogliere le lettere dalla A alla F. Raccogliendo le lettere dalla A alla D si può trasformarsi in un'auto sportiva, meno vulnerabile agli attacchi, ma meno agile. Raccogliendo tutte le lettere si può diventare un aereo ad alta tecnologia. Questa è la fase finale di una delle cinque missioni. Solo l'aereo ad alta tecnologia può guidarvi a destinazione, dove si nasconde il vostro bersaglio principale. C'è anche un limite di tempo entro il quale bisogna completare la missione.
Addams Family, The (Europe)	The Addams Family è un platform a scorrimento laterale basato sul film con lo stesso nome. Il giocatore assume il ruolo di Gomez che cerca i suoi familiari scomparsi. Per trovarli deve esplorare sei diverse parti della villa, ad es. i boschi, che sono livelli base della piattaforma: il giocatore si sposta da sinistra a destra saltando molto ed evitando i nemici. Alcuni di loro possono essere eliminati con un salto in testa. La differenza principale rispetto alle altre versioni di questo gioco è un design dei livelli unico. C'è anche un misuratore di vita che permette di essere colpiti più spesso prima di morire.
Aerial Assault (USA, Brazil) (En)	In Aerial Assault, interpreti il Freedom Fighter che deve distruggere cinque bersagli, tra cui il Vinsk, il bombardiere CB-53, &quot;El&quot; e due fortezze sulla scogliera. Durante ciascuna delle cinque missioni, incontrerai jet nemici, elicotteri, sottomarini, jeep, bombe a paracadute e molti altri nemici in cui dovrai distruggere. Sparare ai caccia in rotazione o ai piccoli elicotteri volanti ti farà guadagnare un potenziamento che ti permetterà di aumentare o diminuire la tua potenza di fuoco. Sono disponibili tre impostazioni difficili: &quot;Facile&quot;, &quot;Normale&quot; e &quot;Difficile&quot;. Non sarai in grado di completare il gioco se selezioni l'impostazione &quot;Facile&quot;.
After Burner (World)	Afterburner è una conversione del gioco arcade con lo stesso nome. L'obiettivo è semplice: usa il tuo F-14 Tomcat e spara a quanti più nemici puoi. Questo aereo ha due armi: missili lock-on e cannoni Vulcaniani (fondamentalmente mitragliatrici). In alcune versioni c'è un'opzione per lasciare che i cannoni sparino automaticamente tutto il tempo. Il gioco è visto da dietro l'aereo con te che combatti ondate di combattenti nemici. Ma in fondo offre le solite meccaniche da sparatutto, il che significa che trascorri la maggior parte del tuo tempo a schivare e sparare. A volte ti imbatti in un aereo di rifornimento amico e se attracchi con esso puoi rifornire i tuoi missili.
Air Rescue (Europe, Brazil) (En)	Air Rescue è un gioco simile a Choplifter! Sei un pilota di un elicottero e l'obiettivo è salvare gli ostaggi senza essere abbattuti da soldati, jeep, carri armati, elicotteri e missili a terra e riportarli alla base. Un massimo di quattro ostaggi possono entrare nell'elicottero in un dato momento, quindi è necessario fare più di un viaggio. Puoi scegliere tra una varietà di armi che puoi usare per abbattere i nemici. Ci sono cinque round, che ti portano attraverso parchi a tema, grattacieli in fiamme, basi militari, sottomarini affondati e caverne. Il round termina quando hai portato il numero richiesto di ostaggi alle basi.
Aladdin (Europe, Brazil) (En)	I sistemi a 8 bit di Sega hanno ricevuto un adattamento unico del film d'animazione Disney del 1992 Aladdin. Come altre versioni, è un gioco d'azione a scorrimento laterale. Il giocatore controlla Aladdin, facendosi strada attraverso una varietà di luoghi, tra cui le strade di Agrabah, la Grotta delle Meraviglie, il palazzo del Sultano e altro ancora. Il gioco assume diverse forme: alcuni livelli sono inseguimenti, in cui Aladdin corre automaticamente, ma deve essere fatto per saltare oltre voragini o rotolare pietre e barili, schivare oggetti che cadono ed evitare di essere catturato da una guardia. Altri livelli sono affari platform: Aladdin deve correre, saltare e arrampicarsi, trovare chiavi o interruttori per aprire le porte mentre cerca l'uscita. Le rocce possono essere raccolte ed essere lanciate per eliminare i nemici o premere pulsanti altrimenti fuori portata. Infine, ci sono anche diverse giostre sul tappeto magico nel gioco, in cui il livello scorre automaticamente e il giocatore deve assicurarsi di evitare qualsiasi ostacolo sulla strada.
