#key	synopsis
007 James Bond (Japan) (Othello Multivision)	Em 007 James Bond você controla James Bond em seu veículo multiuso. Este veículo pode viajar tanto na terra quanto no mar, pode pular sobre o perigo ou atirar em inimigos em diferentes fases. Cada fase de rolagem horizontal no jogo é vagamente baseada em um filme diferente de James Bond. As fases incluídas são Diamonds Are Forever (Os Diamantes São Eternos), The Spy Who Loved Me (O Espião Que Me Amava), Moonraker (Contra o Foguete da Morte) e For Your Eyes Only (Somente para Seus Olhos). Cada fase tem uma variedade de inimigos tentando destruí-lo, e um objetivo único que deve ser realizado para continuar (por exemplo, você pode ter que pousar em uma plataforma de petróleo oculto para parar Seraffino, ou encontrar o laboratório submarino de Stromberg e destruí-lo). Se você conseguir completar todas as missões, você ganha o jogo! Boa sorte, senhor Bond.
Bank Panic (Japan)	Como pistoleiro, é seu trabalho proteger um banco de bandidos, tomando cuidado para não atirar em clientes inocentes. O banco tem 12 portas em frente a 12 caixas, com apenas três portas visíveis de cada vez. Os tiros são feitos simplesmente apertando um dos três botões para atirar na porta esquerda, do meio ou direita. O jogador pode mover seu ponto de vista para a esquerda e para a direita para revelar novas portas. As pessoas só aparecem atrás das portas que estão atualmente visíveis na tela, exceto pelos raros bandidos que aparecerão para roubar um depósito em dinheiro de um caixa que o jogador não está vendo Indicadores no topo da tela mostram quanto tempo levará até que alguém apareça em uma porta. Se um bandido aparecer atrás de uma porta, você tem apenas alguns segundos para atirar nele antes que ele atire em você. Se você atirar nele cedo demais (ou seja, antes que ele aponte a arma pra você), será considerado injusto e dá muito pouca pontuação, mas se você for tarde demais, ele atirará em você e você perderá uma de suas três vidas. Às vezes um bandido enfia dinamite em uma das portas. Você deve então atirar na dinamite para se livrar dela. Se você demorar muito, a bomba explode (mesmo que esteja fora da tela) e você perde uma vida. Se tiver sorte, um cliente aparecerá atrás da porta e depositará um saco de moedas de ouro. Se você atirar em alguma dessas pessoas por acidente, você também perderá uma vida. Às vezes, um bandido subitamente toma o cliente como refém e o coloca na porta. Em outras ocasiões, um cowboy aparece com uma pilha de chapéus. Atirar em todos os chapéus antes que a porta se feche concede um depósito em dinheiro e um grande bônus. Outros estarão amarrados com corda. Se você atirar na corda, há mais dinheiro para você, porque você não receberá apenas um saco de moedas de ouro, mas também receberá três sacos de moedas de ouro. Há mais de dez rodadas no Bank Panic, e cada uma termina quando uma pessoa por trás de todas as 12 portas conseguiu lhe dar um saco de moedas de ouro. As rodadas ficam mais difíceis quanto mais você fica. Por exemplo, em rodadas posteriores, alguns bandidos bloquearão seu tiro e você terá que atirar duas vezes. Além disso, independentemente da sua rodada, há um limite de tempo.
Black Onyx, The (Japan)	Há rumores de que o lendário Black Onyx, um artefato que garante a eterna juventude e felicidade para aqueles que puderem encontrá-lo, fica dentro da Torre Negra, perto da cidade de Utsuro. Você monta um grupo de bravos aventureiros e se aventura na torre, derrotando monstros em seu caminho para o grande tesouro. The Black Onyx é um dos primeiros jogos tradicionais de RPG feitos por uma empresa japonesa. É semelhante no jogo aos primeiros jogos Wizardry e Ultima com matar monstros e explorar masmorras, com imagens escuras e realistas. O jogador cria um grupo (de até cinco membros) e explora uma masmorra em forma de labirinto 3D, lutando contra inimigos aleatórios no caminho. Os heróis também se encontram com aventureiros que podem ser convencidos a participar do grupo. A mecânica de combate é baseada em turnos.
Bomb Jack (Japan, Australia) (Ja)	Em Bomb Jack, o jogador controla Jack, que deve coletar todas as bombas para completar a rodada atual e ir para a próxima. Parece fácil, né? Errado! Tornando difícil a tarefa de Jack estão numerosos inimigos, como pássaros, múmias, tartarugas e orbes. Em cada rodada, coletar um número de bombas resulta no aparecimento de uma moeda de bônus e coletar essa moeda fará com que a pontuação do jogador aumente de 2 a 4 vezes. Não mais frequentemente, a &quot;bola de poder&quot; aparece, e quando você coleta, poderá derrotar todos os inimigos de uma vez e ter mais tempo para coletar todas as bombas. Há também a moeda &quot;E&quot;, que dá a Jack uma vida adicional, mas raramente esta moeda aparece. Quanto mais você progride no jogo, mais difícil se torna, à medida que os inimigos viajam mais rapidamente para chegar até você.
Borderline (Japan, Europe, Australia, New Zealand) (En)	Borderline é um shooter arcade de visão suspensa que coloca o jogador no controle de um jipe em uma zona de guerra. O jipe é equipado com uma arma que tem munição ilimitada. Cada rodada consiste em quatro fases; depois que o jogador completar todas elas, o jogo prossegue para a próxima rodada, com maior dificuldade. A primeira fase é um shooter de rolagem vertical: o jogador pode mover o jipe em todas as direções, atirando em inimigos que tentam destruí-lo por colisão; O objetivo é simplesmente sobreviver. As outras fases compartilham um conceito de jogabilidade diferente: o jogador tem que navegar pelo jipe em direção às refinarias inimigas e destruí-las. Tanques inimigos vão aparecer indefinidamente, tentando parar o jipe. Partes da fase estão cobertas por arbustos, e o jipe precisa passar por elas antes de avançar. Na terceira fase, os foguetes podem ser apanhados para pontuação bônus. Na quarta e última fase, a única refinaria é bem protegida e atira mísseis no jipe.
C_So! (Japan)	C_So! é um jogo de plataforma no qual você controla um garoto que tem que coletar itens como flores, maçãs e cerejas, enquanto ele está sendo perseguido por monstros hostis. Os monstros devem ser esmagados ou arremessados contra o teto usando um espeto de mão. Cada fase também contém gangorras e portas. As gangorras tornam possível saltar de plataforma em plataforma e as portas tornam possível escapar dos monstros saindo por uma porta e aparecendo na outra. Antes que você possa continuar para a próxima fase, todos os itens devem ter sido coletados e todos os monstros mortos.
Castle, The (Japan)	No jogo de quebra-cabeça e plataforma The Castle, o jogador controla um príncipe que tem que salvar a princesa. Para encontrar sua princesa, ele deve explorar o castelo, que tem cem salas diferentes. Cada sala é um próprio quebra-cabeça, pois o príncipe deve evitar os cavaleiros inimigos, tiroleses gordos, objetos perigosos e usar itens para chegar à próxima porta. Em cada sala o príncipe tem que recolher chaves e itens, como anéis, barras de ouro e garrafas. As garrafas darão ao príncipe uma vida adicional. As chaves podem ter cores diferentes e só abrem portas com a cor da chave correspondente.
Chack'n Pop (Japan)	Chack'n Pop é considerado um antecessor de Bubble Bobble. É um jogo de plataforma onde uma criatura amarela arredondada, chamada Chack'n, deve lutar contra Monstas e Mightas para recuperar corações que foram roubados durante um encontro romântico com a Srta. Chack'n. Os próprios Monstas nascem de ovos pendurados no teto e os Mightas empurram uma pedra que é usada como o cronômetro do jogo. Os ovos de Monsta têm três fases: se é azul, é completamente inofensivo, se estiver amarelo, irá aparecer dentro de 10 segundos e se um ovo ficar vermelho, ele irá aparecer quase imediatamente. Chack'n usa bombas para explodir os Monstas e seus ovos e ele também os usa para liberar os corações capturados de suas gaiolas. Quando o coração é liberado, ele voa para cima e destrói o bloco separador e revela a saída para a fase. Curiosamente esta versão do SG-1000 inclui cenas extras e uma fase de treinamento não visto na versão arcade.
Challenge Derby (Japan) (Othello Multivision)	Challenge Derby é um jogo de corrida de cavalos para o SG-1000
Champion Baseball (Japan, Australia, New Zealand) (Ja)	Você escolhe uma equipe de uma seleção de equipes norte-americanas, em seguida, joga bola contra o computador, arremessando ou rebatendo. A tela consiste em todo o campo de basebol e uma visão lateral do arremesso/rebatida. Possui divertidos slides da base e &quot;animação&quot; da torcida.
