#key	synopsis
After Burner Complete (Japan, USA) (En)	Instálate dentro de tu arma letal, el F-14 Tomcat, arranca el dispositivo de poscombustión y enciende los cielos. Tienes misiones de vuelos durante día y noche, volando por encima de tierra y mar, destruyendo los blancos enemigos con tus mortales misiles Sidewinder.
Amazing Spider-Man, The - Web of Fire (USA)	Una red eléctrica de plasma ha dejado Nueva York en un estado de caos, y sólo Spider-Man y Daredevil pueden salvar a la ciudad de la destrucción total. Conduce a Spidey a través de los diferentes niveles, llenos de una gama de enemigos y puzzles y toma HYDRA, la fuente del mal.
BC Racers (USA)	¡Es prehistórico! El hombre de las cavernas millonario playboy Millstone Rockafella organiza una carrera de bicicleta BC n 'wacky, el ganador de la cual recibe la ULTIMATE BOULDERDASH BIKE. Cool n 'crazy CLIFF ACE ha puesto sus gafas de sol en una bicicleta de montaña desde que estaba a la altura de la rodilla, por lo que se inscribe en la carrera, llevando consigo a su bebé de la cueva, ROXY. El 32X lleva los gráficos al límite con 256 colores para los gráficos del juego y 24 bits completos para la visualización estática. ¡La edad de piedra nunca se vio mejor!
Blackthorne (USA)	Blackthorne es un juego de acción y aventura que tiene lugar en el planeta Tuul. Tuul era un lugar pacífico, hasta que el malvado guerrero Sarlac usó el poder de la Piedra Oscura para tomar el control. El padre de Blackthorne, el buen rey Vlaros, lo envió a la Tierra justo cuando su reino se desmoronaba a su alrededor. Ahora, 20 años más tarde, Blackthorne ha crecido y debe volver a Tuul para liberarlo de las garras de Sarlac. Este juego se juega desde una vista lateral con fondos sin desplazamiento. Tiene fuertes similitudes con Prince of Persia.
Brutal - Above the Claw (USA)	Al igual que con el original Brutal: Paws of Fury, el juego implica un torneo de artes marciales creado por el Dalai Lama. Una selección de 12 animales antropomórficos están involucrados. Cada personaje tiene su propio estilo de lucha, movimientos e historia. A medida que avanzas en el juego, desbloquearás más movimientos para cada personaje. También hay un modo de conquista progresiva que te desafía a tomar el control de toda la Isla Brutal.
ClayFighter 2 (USA) (Proto)	ClayFighter 2: Judgement Clay es la secuela de ClayFighter, fué lanzada en 1995 para la consola Super Nintendo Entertainment System. En un punto también también se tenía contemplado lanzar para la consola Sega 32X en el mismo lapso de tiempo, pero a pesar de ser anunciado, esta versión fue cancelada por razones desconocidas. El título del juego es una referencia pop a la película Terminator 2: Judgment Day.
Cosmic Carnage (Japan, USA) (En)	Cosmic Carnage es un juego de lucha uno contra uno en el espacio exterior. La historia comienza cuando la barcaza de la prisión es secuestrada por su carga en un intento de escape. El caos resultante hace que la barcaza chocara contra un crucero militar. El impacto causó daños extensos a ambos barcos. Había solamente 8 sobrevivientes, 4 de cada nave. Lo peor, sólo hay una vaina de escape. Controlarás a uno de los 8 supervivientes, y tendrás que terminar con todos los demás para escapar con vida.
Darxide (Europe) (En,Fr,De,Es)	Uno de los últimos juegos de 32X (exclusivo en Europa), DarXide es un shooter espacial tridimensional, inspirado en parte por el juego arcade Asteroids. Es uno de los pocos juegos de 32X que utilizan polígonos con formato de textura. Los jugadores controlan una solitaria nave espacial que se apresura a destruir a los asteroides y aliens antes de aniquilar a los mineros y colonias humanas. Los asteroides se dividen en rocas más pequeñas, que también pueden ser perseguidas y destruidas.
Doom (Japan, USA) (En)	¡El Infierno se ha vuelto loco! Monstruos de otra dimensión utilizan sus talentos espantosos para convertir su estación espacial en un matadero de sangre. Doom es un juego de acción en primera persona inspirado en el título lanzado en 1993 en PC. Disponemos de 8 armas para sobrevivir a los ataques en las complejidades de los laberintos, todos los ingredientes están en su lugar para lanzar el ataque a las criaturas malignas.
FIFA Soccer 96 (Europe) (En,Fr,De,Es,It,Sv)	FIFA 96 es la tercera entrega de la serie FIFA. Fue la primera vez en la serie donde se nos ofrecían gráficos 3D en tiempo real, utilizando la tecnología &quot;Estadio Virtual&quot;. También es el primero de la serie con nombres de jugadores reales y posiciones, herramientas de clasificación, de transferencia y de personalización del equipo.
