#key	synopsis
After Burner Complete (Japan, USA) (En)	After Burner é um jogo de combate aéreo, lançado em 1995 para o Megadrive 32X. Foi desenvolvido pela Sega-AM2. Este é o primeiro jogo de Yu Suzuki. O jogador controla um F-14 Tomcat vendo somente por trás e em alta velocidade, que deve destruir uma série de aeronaves inimigas por 18 etapas, a versão 32X é mais fiel e com mais conteúdo se comparada a de megadrive ou master system.
Amazing Spider-Man, The - Web of Fire (USA)	Spider-man - Web Of Fire é um jogo de ação lançado para a Sega 32X e baseado no popular personagem da Marvel Comics, Homem-Aranha. O jogador controla o Homem-Aranha através de seis fases de níveis de deslocamento lateral enquanto ele enfrenta a organização terrorista H.Y.D.R.A. e seus empregados os Novos Executores. A Hydra tomou todo o território de Nova York como refém, pois eles montaram geradores por toda a cidade, o que fez com que uma gigantesca rede elétrica fosse colocada sobre Nova York, prendendo seus cidadãos. Os New Enforcers estão cada um protegendo os geradores para garantir que os planos da Hydra não sejam interrompidos. No final dos níveis, o Homem-Aranha deve ir contra cada membro dos Novos Executores enquanto destrói cada gerador. Os chefes são Dragon Man, The Eel, Thermite, Blitz e Super-Adaptoid. Vanisher também aparece, embora ele não seja um chefe. O jogador também pode obter assistência do colega super-herói Demolidor, coletando tokens &quot;DD&quot;.
BC Racers (USA)	BC Racers é um jogo de corrida lançado pela Core Design em 1995 em Sega 32X é um jogo de corrida de kart com personagens da série de jogos Chuck Rock do Core Design. Cada um dos pilotos neste jogo monta uma motocicleta pré-histórica com um carro lateral. Em cada equipe de dois personagens, uma pessoa dirige a motocicleta, e a outra luta contra os adversários usando paus, socos, chutes, etc. Gráficos em BC Racers consistem em uma paisagem plana decorada com sprites em escala para compor a pista e o cenário.
Blackthorne (USA)	Blackthorne, também conhecido como Blackhawk, é um jogo de plataforma lançado em 1994, desenvolvido pela Blizzard Entertainment e pela Interplay para Sega 32X. Blackthorne se passa no planeta Tuul. Thoros, o último governante, encontra-se em um dilema sobre qual de seus dois herdeiros deve ser o próximo governante. Acreditando que conseguiria solucionar seu dilema, Thoros os leva para o deserto e se suicida. Seu corpo transforma-se em duas pedras - luz e escuridão - e ele dá uma para cada um de seus filhos governarem seu próprio reino. O povo da pedra da luz origina o reino de Androth, enquanto que o povo da pedra da escuridão origina o reino de Ka'dra'suul. Porém, enquanto Androth respeita a sua pedra, Ka'dra'suul rejeita a sua, e seu povo acaba sendo transformado em monstros.
Brutal - Above the Claw (USA)	Brutal Unleashed: Above the Claw é um jogo de luta um-contra-um desenvolvido pela GameTek para o Sega 32X. É uma atualização para Brutal: Paws of Fury, lançado apenas na América do Norte. Os títulos de trabalho para este jogo foram Totally Brutal e Brutal: Paws Unleashed. O cenário e os gráficos foram altamente aprimorados, fazendo uso dos recursos do 32X, mudando drasticamente. A mudança mais notável foi no palco de Leon Prince, em que anteriormente era possível empurrar o rival para fora da ponte para uma vitória instantânea. Brutal Unleashed: Above the Claw apresenta dois novos personagens: Chung Poe e Psycho Kitty; e há mais quatro etapas do que o jogo original, totalizando catorze, embora algumas delas sejam simplesmente duplas com diferentes paletas / sombreamento.
ClayFighter 2 (USA) (Proto)	ClayFighter 2: Judgment Clay é a sequela de ClayFighter, e foi lançado para a Super Nintendo no início de 1995. A certa altura, foi também lançada na Sega 32X durante o mesmo período, mas apesar de ter sido anunciada, esta versão foi cancelada por razões desconhecidas. O título do jogo é uma referência ao filme &quot;Terminator 2: Judgment Day&quot;.
Cosmic Carnage (Japan, USA) (En)	Cosmic Carnage é um jogo de luta beat'up ambientado no espaço sideral. A história começa quando uma barcaça da prisão é sequestrada por sua carga em uma tentativa de fuga. O caos resultante fez com que a barca batesse em um cruzador militar. O impacto causou grandes danos a ambos os navios. Havia apenas 8 sobreviventes, 4 de cada navio. O pior é que há apenas um pod de fuga. Você controla um dos 8 sobreviventes e tem que acabar com todos os outros para escapar com sua vida. A jogabilidade em Cosmic Carnage é semelhante ao Street Fighter 2, mas com um ritmo muito mais lento. Alguns dos caças podem ser personalizados com diferentes combinações de armaduras, permitindo acesso a diferentes movimentos especiais.
Darxide (Europe) (En,Fr,De,Es)	Darxide é um shoot'em up para o Sega 32X da Frontier Developments, lançado em 1995 apenas na Europa. Também foi programado para ser um título de lançamento para o inédito NBA da Netuno. A jogabilidade é semelhante à de Asteroids, Os jogadores controlam uma nave estelar para destruir asteroides e naves alienígenas que se aproximam, antes de aniquilar mineiros e colônias humanas indefesas. Os asteróides se dividem em rochas menores, que também são muito caçadas e destruídas. Aliens também chegam em embarcações maiores e mais perigosas. Os asteróides quebrados em seu menor tamanho e depois vaporizados, às vezes, reduzem as recargas de energia ou escudo, para reparar os danos causados por explosões ou colisões a laser. Novas armas também podem ser encontradas. Os jogadores têm um limite de tempo para atingir todos os objetivos em um estágio antes de serem forçados a pousar e tentar novamente. O lado direito do HUD mostra os asteróides restantes (e seu tamanho aproximado), enquanto a esquerda mostra a distância do jogador à sua base (e assim, o tempo restante no palco).
Doom (Japan, USA) (En)	Doom é um jogo em primeira pessoa para o Sega 32X diretamente inspirado pelo título homônimo lançado em 1993 no PC. As 8 armas disponíveis são preciosas para sobreviver a ataques repetidos nos meandros de vários labirintos. Da motosserra à pistola Plasma, para não mencionar a espingarda e o lançador de foguetes, todos os ingredientes estão no lugar para atacar as criaturas malignas.
FIFA Soccer 96 (Europe) (En,Fr,De,Es,It,Sv)	A versão FIFA Soccer 96 pode ser considerada uma mistura de elementos vistos nos jogos lançados para Mega Drive e Saturn, algo até natural, já que em poder de processamento desse acessório poderia ser situado entre ambos os sistemas, possuindo características de ambos. É interessante notar que os jogadores são construídos em 2D através de sprites, já os estádios fazem uso de elementos e texturas 3D na modelagem do gramado, dos gols e das placas. É um dos dois jogos lançados para o sistema exclusivamente na Europa.
Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En)	Em 36 Great Holes o jogador assume o controle de 24 jogadores de golfes digitalizados (12 homens e 12 mulheres) jogando em 27 campos de golf históricos nos Eua, incluindo Disney's Eagle Pines e Tidewater Golf Club, disputando 36 buracos. Há sete diferentes modos de jogo (Stroke Play, Tournament, Skins, Shoot-out, Scramble, Practice and Match Play) e três diferentes tipos de tacos de golfe (madeira, metal e grafite). A tecnologia 32X oferece um gráfico mais realista.
Knuckles' Chaotix (Japan, USA) (En)	Knuckles Chaotix é um spin-off da série de jogos do Mega Drive: Sonic the Hedgehog. O personagem principal deste título é Knuckles the Echidna que apareceu pela primeira vez em Sonic the Hedgehog 3. Knuckles trabalha na Carnival Island, um parque de diversões. É seu trabalho proteger o parque e torná-lo um lugar feliz para os visitantes. Dr. Robotnik, como de costume, tem um plano maligno para o parque. Ele quer a Power Emerald que fornece eletricidade para toda a ilha. O que é pior, ele aprisionou vários amigos de Knuckles no &quot;Combi Confiner&quot;. Esta engenhoca só permite que Knuckles liberte um de seus amigos por vez estando ligado a um cabo entre eles. Portanto, quando você joga o jogo você está sempre ligado a outro personagem. Embora a jogabilidade básica de Knuckles Chaotix seja semelhante aos jogos do Sonic, o cabo bungee entre os dois personagens cria novos desafios. Os novos personagens que aparecem são Vector the Crocodile, Mighty the Armadillo, Espio the Chameleon and Charmy Bee. Há também dois personagens cujo único propósito é atrasar você, Heavy the Robot, e Bomb. Chaotix adiciona vários novos power-ups e fases bônus em 3D também.
Kolibri (USA, Europe)	Durante muitos anos, no centro do planeta, um poderoso cristal foi o responsável pelo equilíbrio da natureza. Inesperadamente, dois meteoros compostos do mesmo material deste cristal se chocaram com a Terra provocando mudanças desastrosas na atmosfera. A radiação liberada por estes dois objetos cósmicos começou a transformar todos os animais e plantas terrestres em monstros terríveis. O futuro do mundo estaria selado não fosse um corajoso Colibri. Colibri??? Isto mesmo, este pequeno pássaro de aparência inofensiva é agora a última esperança da mãe natureza. - Perspectiva em 3D e gráficos poligonais impressionantes. - Sinta a emoção de voar velozmente e mergulhar em incríveis acrobacias aéreas. - Diversas armas e itens, incluindo lasers, anéis de fogo, bombas, etc...
Metal Head (Japan, USA) (En,Ja)	Os tempos não são mais os mesmos. Uma perigosa organização formada por vários grupos terroristas tem espalhado pânico e destruição por todo o mundo. É aí que você entra. Você faz parte de uma força especial cujo objetivo é deter essa perigosa organização. Assuma o controle do &quot;Metal Head&quot;, a mais poderosa arma de combate do futuro, um tanque que se locomove sobre duas pernas mecânicas e que chega a atingir aproximadamente 49 mph (79km/h). Com uma resistente armadura e um grande número de metralhadoras, mísseis e radares, ele foi criado inicialmente para manter a paz nas ruas destruídas pela Grande Guerra, mas agora é o único capaz de salvar a humanidade da destruição... - 24 mega de combates. - Os mais poderosos, destrutivos e sofisticados tanques de ataque. - Gráficos poligonais em 3D e efeitos sonoros incríveis.
Mortal Kombat II (Japan, USA) (En)	Mortal Kombat II, é um jogo de lutapara o Sega 32X/Mega 32X. Combos, fatalidades e outros movimentos especiais são os ingredientes que compõem o sucesso de um jogo de reconhecido pela violência de seus confrontos. O com um dos 12 lutadores selecionáveis você deve derrotar todos os seus concorrentes um a um para vencer o torneio e pôr fim ao reinado do maléfico Shao Kahn.
Motocross Championship (USA)	O importante é competir! Se você pensa desta forma, vá se preparando para engolir muita poeira neste novo desafio para Mega 32X. O cenário é o Campeonato Mundial de Motocross, onde você irá pilotar as máquinas mais velozes em 12 desafiantes pistas de corrida. Mas o desafio não pára por aí. Você irá correr contra 11 pilotos que farão de tudo para ganhar e não vão pensar duas vezes se tiverem que jogar você para fora das pistas. Se chegar até o final já era um problema, vencer... - Máquinas envenenadas em três categorias diferentes: 125cc, 250cc e Super Bike. - Gráficos incríveis que farão você sentir a verdadeira emoção das corridas de motocross. - Doze competidores com um só objetivo: vencer. Como? Não importa! - Derrapagens, curvas fechadas, saltos duplos e triplos em doze pistas impressionantes.
