#key	synopsis
007 James Bond (Japan) (Othello Multivision)	In James Bond 007 steuern Sie James Bond in seinem Mehrzweckfahrzeug. Dieses Fahrzeug kann sowohl zu Lande als auch zu Wasser reisen, über Gefahren springen oder auf Feinde auf den vielen verschiedenen Ebenen schießen. Jedes horizontal scrollende Level im Spiel basiert lose auf einem anderen James Bond-Film. Die enthaltenen Levels sind Diamonds Are Forever, The Spy Who Loved Me, Moonraker und For Your Eyes Only. In jedem Level gibt es eine Vielzahl von Feinden, die versuchen, Sie zu zerstören, und ein einzigartiges Ziel, das erreicht werden muss, um fortzufahren (zum Beispiel müssen Sie möglicherweise auf einer versteckten Bohrinsel landen, um Seraffino zu stoppen, oder Strombergs Unterwasserlabor finden und zerstören). . Wenn Sie alle Missionen erfüllen können, gewinnen Sie das Spiel! Viel Glück, Mr. Bond.
Bank Panic (Japan)	Bank Panic ist ein von Sanritsu entwickelter und 1984 von Sega hergestellter Arcade-Shooter. Er wurde auf das SG-1000 und auch auf das Sega Master System portiert. Für mehrere Heimsysteme wurde ein nicht lizenzierter Klon namens West Bank veröffentlicht. Die gleiche Hardware wurde später von Sega und Sanritsu für Combat Hawk verwendet. Der Spieler schlüpft in die Rolle eines Sheriffs aus dem 19. Jahrhundert in den USA und muss eine Bank vor Räubern schützen. Es gibt zwölf Türen, die in einem Kreis angeordnet sind, wobei der Spieler in der Mitte drei gleichzeitig sehen kann. Diebe tauchen aus Türen auf und müssen erschossen werden, sobald sie ihre Waffen ziehen, um mehr Punkte zu erzielen. Bankkunden sollten nicht erschossen werden. Sobald die Kunden ihre Einzahlungen an allen Türen getätigt haben, ist das Level abgeschlossen.
Black Onyx, The (Japan)	Gerüchten zufolge befindet sich im Schwarzen Turm nahe der Stadt Utsuro der legendäre Schwarze Onyx, ein Artefakt, das demjenigen, der es finden kann, ewige Jugend und Glück schenkt. Sie stellen eine Gruppe mutiger Abenteurer zusammen und wagen sich in den Turm, um auf dem Weg zum großen Schatz Monster zu besiegen.The Black Onyx ist eines der ersten traditionellen Rollenspiele, das von einer japanischen Firma entwickelt wurde. Es ähnelt in seiner Spielweise den frühen Wizardry- und Ultima-Spielen, bei denen es darum geht, Monster zu töten und Verliese zu erforschen, und bietet eine dunkle, realistische Grafik. Der Spieler erstellt eine Gruppe (bis zu fünf Mitglieder) und erkundet ein labyrinthartiges 3D-Verlies, wobei er unterwegs gegen zufällige Gegner kämpft. Die Helden treffen auch auf Abenteurer, die überzeugt werden können, sich der Gruppe anzuschließen. Die Kampf-Engine ist rundenbasiert.
Bomb Jack (Japan, Australia) (Ja)	In Bomb Jack kontrolliert der Spieler Jack, der alle Bomben einsammeln muss, um die aktuelle Runde abzuschließen und mit der nächsten fortzufahren. Das klingt einfach, oder? Falsch! Jacks Aufgabe erschweren zahlreiche Feinde wie Vögel, Mumien, Schildkröten und Kugeln. In jeder Runde erscheint beim Sammeln einer Anzahl von Bomben eine Bonusmünze. Durch das Sammeln dieser Münze erhöht sich die Punktzahl des Spielers um das 2- bis 4-fache. Meistens erscheint der &quot;Kraftball&quot;, und wenn Sie diesen sammeln, können Sie Feinde besiegen und haben mehr Zeit, um alle Bomben zu sammeln. Es gibt auch die &quot;E&quot; -Münze, die Jack ein zusätzliches Leben gibt, aber diese Münze erscheint selten. Je weiter Sie durch das Spiel kommen, desto schwieriger wird es, da Feinde schneller reisen, um Sie zu erreichen.
Borderline (Japan, Europe, Australia, New Zealand) (En)	Borderline ist ein Overhead-Arcade-Shooter, mit dem der Spieler die Kontrolle über einen Jeep in einem Kriegsgebiet hat. Der Jeep ist mit einer Waffe mit unbegrenzter Munition ausgestattet. Jede Runde besteht aus vier Stufen; Nachdem der Spieler alle abgeschlossen hat, geht das Spiel mit erhöhtem Schwierigkeitsgrad in die nächste Runde. Die erste Stufe ist ein vertikal scrollender Shooter: Der Spieler kann den Jeep in alle Richtungen bewegen und auf Feinde schießen, die versuchen, ihn durch Kollision zu zerstören. Das Ziel ist einfach zu überleben. Die anderen Stufen haben ein anderes Spielkonzept: Der Spieler muss den Jeep in Richtung feindlicher Raffinerien navigieren und alle zerstören. Feindliche Panzer erscheinen endlos und versuchen, den Jeep aufzuhalten. Teile der Bühne sind von Büschen bedeckt,durch die sich der JEep erst kämpfen muss. In der dritten Stufe können Raketen für Bonuspunkte eingesammelt werden. In der vierten und letzten Phase ist die einzige Raffinerie gut geschützt und schießt Raketen auf den Jeep.
C_So! (Japan)	C_So! (C-SO!) ist ein 1985 von Compile entwickeltes und von Sega veröffentlichtes SG-1000-Spiel. Es handelt sich um eine Portierung eines MSX-Spiels aus demselben Jahr, das von Pony Canyon veröffentlicht wurde. Im Spiel muss der Spieler verschiedene Gegenstände sammeln und Monster mithilfe von Wippen besiegen. Um voranzukommen, müssen alle Gegenstände eingesammelt und alle Monster zerstört werden. Es gibt auch einen Bearbeitungsmodus, der es dem Spieler ermöglicht, eigene Level zu erstellen. Das Spiel wurde nur in Japan veröffentlicht.
Castle, The (Japan)	The Castle ist ein von ASCII entwickeltes und 1986 für den SG-1000 veröffentlichtes Videospiel. Es ist eine Portierung eines gleichnamigen MSX-Spiels und aufgrund der ähnlichen Hardware der beiden Maschinen weitgehend identisch. Aufgrund des Niedergangs des SG-1000 und der Entstehung des Sega Master Systems wurde das Spiel nicht wie viele andere SG-1000-Spiele in Europa oder Australien veröffentlicht. Das Spiel hat eine ziemlich normale Geschichte über die Rettung einer Prinzessin aus einem Schloss, obwohl das Spiel selbst für seine Zeit als sehr großartig galt. Es enthält auch ein Kartensystem ähnlich dem der Metroid- und Castlevania-Spiele.
Chack'n Pop (Japan)	Chack'n Pop ist ein Plattformspiel, bei dem eine rundliche gelbe Kreatur namens Chack'n gegen Monster und Mightas kämpfen muss, um Herzen zurückzuerobern, die während einer romantischen Begegnung mit Miss Chack'n gestohlen wurden. nnDie Monster in Chack'n Pop selbst schlüpfen aus an der Decke hängenden Eiern und die Mightas schieben einen Stein, der als Timer des Spiels dient. Die Monster-Eier haben drei Phasen: Wenn es blau ist, ist es völlig harmlos, wenn es gelb ist, wird es innerhalb von 10 Sekunden knallen und wenn ein Ei rot wird, wird es fast sofort knallen. Also pass auf in Chack'n Pop.
Challenge Derby (Japan) (Othello Multivision)	Challenge Derby ist ein Pferderennspiel für den SG-1000.
Champion Baseball (Japan, Australia, New Zealand) (Ja)	Champion Baseball ist ein von ADK entwickeltes Baseball-Arcade-Spiel. Sega vertrieb das Spiel weltweit und produzierte 1983 eine Version für den SG-1000. Alpha Denshi produzierte auch eine Fortsetzung, die nur in Spielhallen erhältlich war. Champion Baseball soll in Japan ein sehr beliebtes Arcade-Spiel gewesen sein und dort sogar eigene Arcade-Spiele erhalten haben (wie man es 1978 bei Space Invaders sah).
Champion Billiards (Japan)	Champion Billiards ist ein einfaches Billardspiel, das für den SG-1000 entwickelt wurde. Dies ist das erste Spiel der „Lunar Pool“-Reihe. Es wurde nicht außerhalb Japans veröffentlicht. Im Gegensatz zu anderen Champion Sports-Spielen ist Champion Billiards keine exakte Darstellung seines Sports. Stattdessen ist Champion Billiards ein Spiel, bei dem das Ziel jedes Levels darin besteht, mit dem roten Ball die anderen Bälle niederzuschlagen.
Champion Boxing (Japan, New Zealand) (Ja)	Champion Boxing ist ein einfaches Boxspiel, das für den SG-1000 entwickelt wurde. Später wurde es in Spielhallen gebracht. Eine MSX-Version wurde 1985 veröffentlicht und von Pony Canyon veröffentlicht. Es gibt fünf Schwierigkeitsstufen und das Ziel besteht darin, den Gegner zu treffen. 1:Angriff, 2:Angriff auswählen. Interessanterweise wird Pengo einen kurzen Auftritt haben, wenn ein Spieler gewinnt. . Champion Boxing zeichnet sich auch dadurch aus, dass es das erste Spiel war, das Yu Suzuki in seinem ersten Jahr bei Sega programmiert hat.
Champion Golf (Japan, Europe, Australia, New Zealand) (Ja)	Wenn es am Sonntag regnet ... ist CHAMPION GOLF-Tag. Sie können es genießen, den Ball mit dem zum Schlag passenden Schläger zu schlagen und mit dem rücksichtsvollen Caddie über die weitläufigen Fairways, Roughs, Grüns, Teiche und Bunkerbereiche zu laufen. Wenn Sie einen „Birdie“, einen „Eagle“, ein fantastisches „Hole in One“ oder den noch wundersameren „Albatros“ bekommen, werden Sie sich fühlen, als wären Sie ganz oben auf der Welt.
Champion Ice Hockey (Japan)	Champion Ice Hockey ist ein einfaches Eishockeyspiel, das für den SG-1000 entwickelt wurde. Sie spielen als Team Rot gegen Team Blau. Eine Taste schießt, während die andere Taste passt. Auf und ab steuern Sie nicht nur Ihren Torwart, sondern auch die Richtung des Torschusses.
Champion Kendou (Japan)	Champion Kendou ist ein einfaches Kendou-Spiel, das für SG-1000 und MSX entwickelt wurde. Es wurde nur in Japan veröffentlicht.
Champion Pro Wrestling (Japan)	Ein unkompliziertes Pro-Wrestling-Spiel von Sega aus der Champion-Sportserie. Du startest immer auf Rang C und musst dich bis zu Rang B und A hochkämpfen. Um um einen Rang zu spielen, musst du drei Matches absolvieren. Wenn Sie zwei von drei Spielen gewinnen, gelangen Sie in einen höheren Rang. Während eines Matches können mehrere Bewegungen ausgewählt werden: Chop, Kick, Pile Driver, Dropkick. Der Schiedsrichter zählt einen Countdown, wenn Ihr Gegner oder Sie am Boden liegen.
Champion Soccer (Japan, Europe) (Ja)	Vereinfachtes Fußballspiel aus Segas Champion-Sportserie. Sie können auf drei Schwierigkeitsstufen spielen. Es gibt keinen Schiedsrichter- oder Turniermodus. Die Dauer des Spiels kann nicht eingestellt werden, ein Spiel dauert zehn Minuten.
Champion Tennis (Japan, Europe, Australia, New Zealand) (Ja)	Champion Tennis ist ein einfaches Tennisspiel, das für den SG-1000 entwickelt wurde.
Championship Lode Runner (Japan, Australia) (Ja)	Ein Nachfolger des ursprünglichen Lode Runner, mit identischem Gameplay. Dieses Paket enthielt 50 der anspruchsvollsten Levels, die je entworfen wurden, und war nur für erfahrene Spieler gedacht. Es enthielt keinen Level-Editor, man musste die Levels der Reihe nach durchspielen, aber es gab eine Speichermöglichkeit (allerdings verlor man bei jeder Wiederherstellung ein Leben).
Choplifter (Japan, Australia) (Ja)	Choplifter ist ein seitlich scrollendes Action-/Arkade-Spiel, in dem Sie das Kommando über einen Kampfhubschrauber übernehmen. Ihre Mission: Gehen Sie hinter die feindlichen Linien und retten Sie bis zu 16 Geiseln pro Level. Aber seien Sie vorsichtig, denn Panzer und feindliche Flugzeuge werden versuchen, Sie aufzuhalten - und sie werden nicht aufhören zu schießen, während Sie die Geiseln retten!
Congo Bongo (Japan)	Congo Bongo, ursprünglich bekannt als Tip Top, ist ein 1983 von Sega entwickeltes Arcade-Plattformspiel. Es wird oft als isometrisches Äquivalent zu Nintendos Donkey Kong angesehen, da es einen Protagonisten zeigt, der einen Menschenaffen jagt (in diesem Spiel „Bongo“ genannt). Allerdings ist das Spiel im Gegensatz zu Donkey Kong in einem Dschungel angesiedelt, die Grafik ist detaillierter und es gibt mehr Feinde und Fallen.
