#key	synopsis
3 Ninjas Kick Back (USA)	Devi aiutare un vecchio samurai a recuperare un pugnale che ha ricevuto una volta come premio per i suoi risultati nelle arti marziali. Il pugnale è stato rubato da qualcuno che invidiava il vecchio guerriero - ora non può dare questo premio ai guerrieri della prossima generazione. Scegli uno dei tre giovani ninja per aiutare il vecchio! Questo è un gioco platform tradizionale basato sul film 3 Ninjas Kick Back. Ognuno dei tre ninja ha armi e abilità uniche. Tutti e tre possono correre, schivare, gattonare, arrampicarsi, saltare e appendere alberi, corde, ecc. Incontrerai molti ostacoli e nemici, sia normali che simili a boss, che dovrai superare e sconfiggere.
A-Rank Thunder - Tanjou-hen (Japan)	Questo gioco di ruolo è uscito solo in Giappone, e per una buona ragione: è un tentativo di trasporre una serie Tokusatsu (genere X-Gold) in un videogioco! Incarniamo il giovane Tuono (?) che si sveglia in quello che sembra essere un complesso scientifico. Viene rapidamente avvicinato da un ragazzo sospettoso con un grande cappello, baffi e occhiali scuri. Inizia quindi una fase di dialogo completamente raddoppiato (così sarà per tutti i dialoghi importanti) in cui si è portati, in un dato momento, a scegliere un atteggiamento.
A-X-101 (USA) (RE)	Il gioco è uno sparatutto su rotaie, con il gameplay visto dalla prospettiva della cabina di pilotaggio in prima persona. La nave del giocatore si muove automaticamente attraverso lo spazio pre-renderizzato e gli ambienti planetari e solo il mirino di mira può essere spostato liberamente. Cannoni laser e testate a fusione sono disponibili per colpire i numerosi nemici. I laser hanno munizioni illimitate ma hanno bisogno di qualche istante per ricaricarsi. Le testate funzionano come bombe intelligenti e liberano lo schermo dai nemici, ma sono disponibili solo in quantità limitata. Vengono riforniti al raggiungimento di un determinato punteggio. Lo scudo energetico della nave funziona come una barra della vita.
Adventures of Batman and Robin, The (USA)	Avete mai sognato di guidare la Batmobile nel centro della città di Gotham e di volare con il Batplame nei cieli notturni? Beh, questa è la nostra occasione, riuscirà il dinamico duo a sfidare la micidiale bellezza di Poison Ivy, oppure sarà Jocker a ridere per ultimo? Il loro futuro e il desitino della città di Gotham è nelle vostre mani
Adventures of Willy Beamish, The (USA)	Le avventure di Willy Beamish è apparso su PC nel 1991 e l'anno successivo ha ricevuto una versione migliorata su CD per quella stessa piattaforma. Il porting per Sega CD si basa su quest'ultimo, con una trama che copre quattro giorni di vacanza estiva per Willy, un bambino medio di 8 anni che deve fare i conti con i suoi genitori, tate e bulli nelle situazioni quotidiane. Come per ogni punta e clicca, ci sono oggetti da ispezionare e enigmi che devono essere risolti. A causa dei lunghi caricamenti del CD Sega, in queste schermate è stato incluso un minigioco in cui il giocatore controlla alcune sfere.
After Armageddon Gaiden - Majuu Toushouden Eclipse (Japan)	La storia si svolge in futuro, centinaia di anni dopo l'estinzione dell'umanità a causa di un olocausto nucleare. I demoni ora sono i dominatori del pianeta, ma sono impegnati nella battaglia per il dominio della terra da parte di alcuni alieni / robot. Il gameplay è simile a Final Fantasy e quasi identico a Last Armageddon. Le battaglie sono a turni e, come in Last Armageddon, il blocco previene tutti i danni del nemico.
After Burner III (USA)	Quando entra in azione l'After Burner resti incollato alla poltrona:Sei solo contro il nemico, ma possiedi un eccezionale oggetto volante, il tuo F 14 Tomcat!
AH3 - Thunderstrike (USA)	Thunderhawk è un gioco d'azione su Mega-CD che ti dà il controllo di un elicottero da combattimento in una serie di sei campagne futuristiche. La versione originale include un totale di 60 operazioni con vari obiettivi. Prima di volare nel cielo, il giocatore può adattare l'arsenale imbarcato per adattarlo. Il pilotaggio è tecnico ma accessibile, senza essere complesso come altre simulazioni disponibili nel 1993.
Aisle Lord (Japan)	Aisle Lord è un gioco di ruolo sotterraneo in 3D nella tradizione dei giochi di ruolo occidentali come Wizardry e Might and Magic, anche se la storia e la progressione del personaggio sono molto più vicine ai giochi di ruolo in stile giapponese con un cast fisso che sale di livello automaticamente. L'intero gioco, comprese le città e gli interni degli edifici, è esplorato da una prospettiva 3D in terza persona; le singole stanze e le aree di transizione vengono esplorate in uno stile di gioco di avventura punta e clicca. Le battaglie si svolgono in modo semi-attivo, con il giocatore che impartisce comandi specifici a ciascun personaggio, che seguiranno fino a quando non gli verrà chiesto di fare diversamente.
Alshark (Japan)	Alshark è ambientato in un mondo futuristico in cui l'umanità ha conquistato lo spazio e portato la civiltà su molti pianeti. Interpreti come un ragazzino di nome Shion che vive insieme a suo padre. Un giorno, il padre della sua ragazza Shoko viene posseduto da una misteriosa forza del male e di conseguenza uccide il padre di Shion. Shion deve ora indagare su questa terribile vicenda e scoprire quale sia stata la forza oscura che l'ha portata. Il gioco è un tradizionale gioco di ruolo in stile giapponese (i tuoi personaggi salgono di livello, equipaggiano una varietà di armi e armature, partecipano a combattimenti a turni su un campo di battaglia limitato) con alcuni combattimenti spaziali (puoi acquistare vari gadget per potenziare la tua astronave, rendendo è più efficace in combattimento e più forte in diversi modi). La versione Turbo CD presenta una grafica e una voce fuori campo migliorate.
