#key	synopsis
007 James Bond (Japan) (Othello Multivision)	007 James Bond è un gioco sparatutto sviluppato e pubblicato da Tsukuda Original per SG-1000. È stato portato dall'omonimo gioco di Parker Brothers del 1983, pubblicato per vari computer / console americani. 007 James Bond è stato l'ultimo gioco SG-1000 prodotto dalla società.
Bank Panic (Japan)	Bank Panic è uno sparatutto arcade sviluppato da Sanritsu e prodotto da Sega nel 1984. Successivamente è stato portato da Sega su SG-1000 e Sega Master System. Un clone senza licenza chiamato West Bank è stato rilasciato per diversi sistemi di computer domestici. Lo stesso hardware sarebbe stato utilizzato anche per il successivo gioco Sega / Sanritsu Combat Hawk. Il giocatore assume il ruolo di uno sceriffo negli Stati Uniti del XIX secolo, proteggendo una banca dai ladri armati. Ci sono dodici porte disposte in cerchio, con il giocatore al centro, che possono essere visualizzate tre alla volta. I ladri che appaiono dalle porte devono essere fucilati (dopo aver estratto le armi, per un punteggio più alto) ei clienti devono essere ignorati mentre fanno un deposito. Una volta che i depositi sono stati effettuati da tutte e dodici le porte, il livello è completo.
Black Onyx, The (Japan)	Si dice che la Torre Nera, nei pressi della città di Utsuro, contenga la leggendaria Onice Nera, un manufatto che garantisce l'eterna giovinezza e la fortuna a chiunque riesca a trovarla. Radunate un gruppo di coraggiosi avventurieri e avventuratevi nella torre per sconfiggere i mostri sulla via del grande tesoro.The Black Onyx è uno dei primi giochi di ruolo tradizionali sviluppati da una società giapponese. Il suo gameplay è simile a quello dei primi giochi Wizardry e Ultima, che prevedono l'uccisione di mostri e l'esplorazione di dungeon, e la sua grafica è cupa e realistica. I giocatori creano un gruppo (fino a cinque membri) ed esplorano un dungeon 3D simile a un labirinto, combattendo nemici casuali lungo il percorso. Gli eroi incontrano anche avventurieri che possono convincere a unirsi al loro gruppo. Il motore di combattimento è a turni.
Bomb Jack (Japan, Australia) (Ja)	Bomb Jack è un gioco arcade sviluppato da Tehkan che è stato successivamente portato sull'SG-1000 da Sega nel 1985. Lo scopo del gioco è raccogliere tutte le bombe nel campo di gioco evitando i mostri. Vengono assegnati punti extra per la raccolta delle bombe in un ordine specifico.
Borderline (Japan, Europe, Australia, New Zealand) (En)	Borderline è un gioco arcade VIC Dual sviluppato nel 1980 da Sega. È uno sparatutto in cui il giocatore controlla una jeep rossa che deve distruggere le raffinerie nemiche. Borderline è stato portato su SG-1000 nel 1983 ed è stato anche rilasciato come parte della serie Sega Ages 2500 in Giappone. Anche la seconda sezione di gioco è stata riciclata per l'uscita Atari 2600 di Thunderground, sebbene invece di guidare una jeep il giocatore controlli un carro armato.
C_So! (Japan)	C_So! (C-SO!) È un gioco SG-1000 del 1985 sviluppato da Compile e pubblicato da Sega. È una conversione di un gioco MSX dello stesso anno, pubblicato da Pony Canyon. Il gioco prevede che il giocatore raccolga vari oggetti e sconfigga i mostri usando le altalene. Per progredire, tutti gli oggetti devono essere raccolti e tutti i mostri devono essere distrutti. C'è anche una modalità di modifica, che consente al giocatore di creare i propri livelli. Il gioco è stato rilasciato solo in Giappone.
Castle, The (Japan)	The Castle è un videogioco sviluppato da ASCII e rilasciato per SG-1000 nel 1986. È un port di un gioco MSX con lo stesso nome ed è in gran parte identico a causa dell'hardware simile tra le due macchine. A causa del declino dell'SG-1000 e dell'emergere del Sega Master System, il gioco non è stato rilasciato in Europa o in Australia come molti altri giochi SG-1000. Il gioco ha una trama abbastanza standard per salvare una principessa da un castello, sebbene il gioco stesso fosse considerato molto grande per l'epoca. Contiene anche un sistema di mappe simile a quello dei successivi giochi Metroid e Castlevania.
Chack'n Pop (Japan)	Chack'n Pop è un gioco arcade sviluppato da Taito che è stato successivamente portato sull'SG-1000 nel 1985. Segue una creatura gialla di nome Chack'n che deve attraversare diversi labirinti facendo esplodere mostri. La versione SG-1000 del gioco include filmati extra e un livello di allenamento non visto nella versione arcade. Sebbene Chack'n Pop non fosse un gioco di particolare successo per Taito, avrebbe continuato a ispirare il successo di Bubble Bobble, che condivide molti degli stessi personaggi e dedica un palcoscenico a Chack'n Pop. Da allora Chack'n è apparso anche in numerosi giochi di Taito, tra cui Bubble Bobble, Fairyland Story, Parasol Stars, Puzzle Bobble (e sequel), Bubble Symphony, Bubble Memories e Arkanoid DS. Curiosamente questa versione dell'SG-1000 utilizza lo script katakana per scrivere Chack'n Pop al contrario dello script hiragana utilizzato in quasi tutte le altre versioni.
Challenge Derby (Japan) (Othello Multivision)	Challenge Derby è un gioco di corse di cavalli per SG-1000.
Champion Baseball (Japan, Australia, New Zealand) (Ja)	Champion Baseball è un gioco di baseball arcade sviluppato da ADK. Sega distribuì il gioco in tutto il mondo e produsse un porting dell'SG-1000 nel 1983. Alpha Denshi realizzò anche un sequel, pubblicato solo nelle sale giochi. Si dice che Champion Baseball sia stato un gioco arcade di enorme successo in Giappone, ricevendo anche i suoi salotti dedicati nel paese (del tipo visto per la prima volta con Space Invaders nel 1978).
