#key	synopsis
2do Aru Koto wa Sando R (Japan)	Puzzle & Action: Treasure Hunt, conocido como Puzzle & Action: 2 por Arukoto ha Sand-R en Japón, es el tercer juego de la serie de minijuegos Puzzle & Action, continuando desde Puzzle & Action: Tant-R y Puzzle & Acción: Ichidant-R. Es la única entrada de la serie que se lanzará en territorio de habla inglesa. Fue lanzado para Sega Titan Video en 1995 y portado por CRI en 1996, exclusivo en Japón. Ambas versiones están desarrolladas por CRI.
2Tax Gold (Japan)	Desarrollado por Atelier Double y publicado por Human en 1997 para Sega Saturn. El juego es un viaje automático, excepto que debe responder preguntas con solo dos respuestas, incluidas algunas de estilo verdadero o falso. Si respondes bien las preguntas, pasarás de nivel y serás desafiado por un mini juego, después del juego tendrás una historia para cerrar el capítulo. Si comete un gran error, aparece una escena de comedia al estilo doshi doshi fundshi, narrada con voces digitalizadas. Si no completas el mini juego, aparece un personaje para darte una conferencia y debes intentarlo de nuevo.
3D Baseball (USA)	3D Baseball es un juego de béisbol poligonal en 3D con más de 700 jugadores reales de Grandes Ligas y sus estadísticas de años anteriores para elegir. Hay más de 50 posiciones reales de éxito que han sido capturadas por los propios jugadores, con cinco ángulos de cámara dinámicos diferentes para elegir. Se aplican modos estándar, como Exposición y Banderín, junto con un Modo de Gerente General, donde el Los jugadores pueden intercambiar e incluso cambiar las estadísticas de sus jugadores para crear el equipo final. Cuenta con animación realista y los talentos de voz de Van Earl Wright con más de 1,000 frases de comentarios diferentes.Aunque no presenta la licencia de la Major League Baseball Baseball League (MLBPA), sin embargo, no incluía los nombres y logotipos reales. del equipo MLB (Major League Baseball).
3D Baseball - The Majors (Japan)	3D Baseball es un juego de béisbol poligonal en 3D con más de 700 jugadores reales de Grandes Ligas y sus estadísticas de años anteriores para elegir. Hay más de 50 posiciones reales de éxito que han sido capturadas por los propios jugadores, con cinco ángulos de cámara dinámicos diferentes para elegir. Se aplican modos estándar, como Exposición y Banderín, junto con un Modo de Gerente General, donde el Los jugadores pueden intercambiar e incluso cambiar las estadísticas de sus jugadores para crear el equipo final. Cuenta con animación realista y los talentos de voz de Van Earl Wright con más de 1,000 frases de comentarios diferentes.Aunque no presenta la licencia de la Major League Baseball Baseball League (MLBPA), sin embargo, no incluía los nombres y logotipos reales. del equipo MLB (Major League Baseball).
3D Lemmings (Europe)	Lemmings 3D es un juego de rompecabezas de Saturn. Tu objetivo es guiar a una colonia de Lemmings hacia la salida del nivel 80 asegurándote de guardar al menos el número requerido de individuos para cada misión. Dale a tus Lemmings órdenes de cavar paredes, construir escaleras, etc. La principal innovación de este componente proviene de la transición a 3D.
3D Mission Shooting - Finalist (Japan)	Tunnel B1 es un juego de disparos en primera persona desarrollado por NEON Software y publicado por Ocean Software en 1996. Cuenta con una banda sonora de Chris Hülsbeck de la famosa fama de Turrican. Los puertos de PlayStation y Sega Saturn se lanzaron en Japón como 3D Mission Shooting: Finalist.
3x3 Eyes - Kyuusei Koushu S (Japan) (Disc 1)	3x3 Eyes: Kyuusei Koushu S es un juego de aventuras en Saturno basado en el Universo 3x3 Eyes Manga. Yakumo, un adolescente japonés, es hijo de un conocido aventurero que murió en un misterioso accidente durante uno de sus viajes al Tíbet. Esta versión de Saturno es una versión actualizada de PlayStation one.
6 Inch My Darling (Japan)	6inch My Darling es una aventura de novela de romance visual originalmente lanzada por KID para Sega Saturn con gratis para todas las clasificaciones. La historia sigue a un estudiante de secundaria nombrado por el jugador que vive con sus padres y una hermana menor. Durante su descanso de la escuela, está ayudando a su madre a trabajar a tiempo parcial en la licorería. Un día, al regresar de la escuela, tropezó con una caja enterrada mientras caminaba por el bosque. Dentro había una forma extraña, con un mensaje dentro de la tapa de la caja. No estoy seguro de qué era, lo dejó sobre la mesa y se fue a dormir. Al día siguiente, escuchó una voz en su habitación, y mientras intentaba determinar la fuente de la voz, tropezó con una niña llamada Etosera. Y para los pequeños, eso significa 6 pulgadas de tamaño. Pero ella no fue la única que apareció debido a la misteriosa caja, pero dos chicas, Minty y Pim, también se convirtieron en sus compañeras secretas.
Actua Golf (Europe) (En,Fr,De)	Actua Golf es un simulador de golf con terreno y personajes en 3D. Viene con dos cursos para jugar (país y tropical), personajes personalizables y seguimiento de disparos de múltiples vistas y repeticiones de acción. Actua Golf utiliza controles de juego similares a los de los títulos de golf más antiguos. Con un medidor de swing, donde tienes que cronometrar correctamente para golpear la pelota correctamente.
Actua Soccer (Japan)	En 1995, el aumento del poder de la nueva ola de sistemas hizo que los juegos de fútbol 3D fueran una posibilidad que varias compañías investigaron. La mayoría de las características que más tarde las personas dieron por sentado en los juegos de fútbol fueron pioneras, o al menos bastante frescas, cuando aparecieron en el primero de los títulos de Actua Sports. Múltiples ángulos de cámara estaban disponibles para ver la acción en 3D, con 3 jugadores de Sheffield Wednesday FC que proporcionan captura de movimiento. Se presentaron 44 escuadrones internacionales de 22 jugadores, cada uno con 8 atributos de habilidades individuales. El comentarista de la BBC, Barry Davies, proporcionó un comentario completo sobre la parte superior. Estaba disponible una gama completa de torneos personalizados, así como opciones para múltiples jugadores que permiten jugar en el mismo sistema y en red.
