#key	synopsis
007 James Bond (Japan) (Othello Multivision)	007 James Bond is a shoot-'em-up game developed and published by Tsukuda Original for the SG-1000. It was ported from Parker Brothers's 1983 game of the same name, which was published for various American computers/consoles. 007 James Bond was the last SG-1000 game to be produced by the company.
Bank Panic (Japan)	Bank Panic is an arcade shooting game developed by Sanritsu and manufactured by Sega in 1984. It was later ported by Sega to the SG-1000 and Sega Master System. An unlicensed clone called West Bank was released for several home computer systems. The same hardware would also be used for the later Sega/Sanritsu game Combat Hawk. The player takes on the role of a sheriff in 19th century USA, protecting a bank from armed robbers. There are twelve doors arranged in a circle, with the player in the centre, which can be viewed three at a time. Robbers who appear from the doors are to be shot (after they draw their weapons, for a higher score) and customers are to be ignored while they make a deposit. Once deposits have been made from all twelve doors, the level is complete.
Black Onyx, The (Japan)	Rumor says that the legendary Black Onyx, an artifact that grants eternal youth and happiness to those who can find it, lies within the Black Tower near the town of Utsuro. You assemble a party of brave adventurers and venture into the tower, defeating monsters on your way to the great treasure. The Black Onyx is one of the first traditional role-playing games made by a Japanese company. It is similar in gameplay to early Wizardry and Ultima games with killing monsters and exploring dungeons, with dark, realistic visuals. The player creates a party (up to five members) and explores a maze-like 3D dungeon, fighting random enemies on the way. The heroes also meet adventurers who can be convinced to join the party. The combat engine is turn-based.
Bomb Jack (Japan, Australia) (Ja)	Bomb Jack is an arcade game developed by Tehkan which was later ported to the SG-1000 by Sega in 1985. The aim of the game is to collect all the bombs in the playfield while avoiding monsters. Extra points are awarded for collecting the bombs in a specific order.
Borderline (Japan, Europe, Australia, New Zealand) (En)	Borderline is a VIC Dual arcade game developed in 1980 by Sega. It is a shoot-'em-up in which the player controls a red jeep who must destroy the enemy refineries. Borderline was ported to the SG-1000 in 1983, and has also been released as part of the Sega Ages 2500 series in Japan. The second gameplay section was also recycled for the Atari 2600 release of Thunderground, though instead of driving a jeep the player controls a tank.
C_So! (Japan)	C_So! (C-SO!) is a 1985 SG-1000 game developed by Compile and published by Sega. It is a port of an MSX game from the same year, which was published by Pony Canyon. The game has the player collect various items and defeat monsters by using see-saws. In order to progress, all items must be collected and all monsters must be destroyed. There is also an edit mode, allowing the player to create their own levels. The game was only released in Japan.
Castle, The (Japan)	The Castle is video game developed by ASCII and released for the SG-1000 in 1986. It is a port of an MSX game of the same name, and is largely identical due to the similar hardware between the two machines. Due to the decline of the SG-1000 and emergence of the Sega Master System, the game was not released in Europe or Australia like many other SG-1000 games. The game has a fairly standard plot of rescuing a princess from a castle, though the game itself was considered very large for the time. It also contains a map system similar to that of later Metroid and Castlevania games.
Chack'n Pop (Japan)	Chack'n Pop is an arcade game developed by Taito which was subsequently ported to the SG-1000 in 1985. It follows a yellow creature named Chack'n who must traverse across several mazes blowing up monsters. The SG-1000 version of the game includes extra cutscenes and a training level not seen in the arcade version. Though Chack'n Pop was not a particularly successful game for Taito, it would go on to inspire the success of Bubble Bobble, which shares many of the same characters and devotes a stage to Chack'n Pop. Chack'n has also cameoed in numerous Taito games since, including Bubble Bobble, Fairyland Story, Parasol Stars, Puzzle Bobble (and sequels), Bubble Symphony, Bubble Memories and Arkanoid DS. Curiously this SG-1000 version uses the katakana script for writing Chack'n Pop as opposed to the hiragana script used in almost every other version.
Challenge Derby (Japan) (Othello Multivision)	Challenge Derby is a horse racing game for the SG-1000.
Champion Baseball (Japan, Australia, New Zealand) (Ja)	Champion Baseball is an arcade baseball game developed by ADK. Sega distributed the game worldwide, and produced an SG-1000 port in 1983. Alpha Denshi also made a sequel, only released in arcades. Champion Baseball is said to have been a hugely successful arcade game in Japan, even receiving its own dedicated parlours in the country (of the sort first seen with Space Invaders in 1978).
