#key	synopsis
After Burner Complete (Japan, USA) (En)	Afterburner ist eine Konvertierung des gleichnamigen Arcade-Spiels. Das Ziel ist einfach: Verwenden Sie Ihre F-14 Tomcat und schießen Sie so viele Feinde wie möglich ab. Dieses Flugzeug verfügt über zwei Waffen: Lock-On-Raketen und Vulcan Cannons (Maschinengewehre). In einigen Versionen gibt es die Option, die Kanonen die ganze Zeit automatisch schießen zu lassen.
Amazing Spider-Man, The - Web of Fire (USA)	Ein elektrisches Plasma Gitter verursacht in Spider-Man: Web of Fire für Sega 32X Chaos in New York, nur Spider-Man kann die Stadt vor der völligen Vernichtung retten. Verantwortlich ist die Terrororganisation HYDRA, die nun zusätzlich die Stadt angreift. Kämpfe als Spider-Man gegen verschiedenen Gegner und nutze Deine Spinnenfähigkeiten, um die Stadt zu retten. Neben den üblichen Nahkampf-Tritten und Schlägen, kannst Du an Wänden laufen und Deine eigenen Netze spannen. Schwinge durch den Großstadtdschungel und rette in Spider-Man: Web of Fire für Sega 32X andere Helden, wie Daredevil!
BC Racers (USA)	BC Racers ist ein Rennspiel auf Megadrive 32X. Der Titel ist direkt von der ungewöhnlichen Welt von Chuck Rock inspiriert und ermöglicht es Ihnen, ein Motorrad oder dessen Sidecar zu steuern. Das Spiel bietet vier verschiedene Schwierigkeitsgrade, die jeweils aus 8 Rundkursen in 8 unterschiedlichen Umgebungen (Dschungel, prähistorisches Dorf, Wüste, nächtlicher Dschungel usw.) bestehen.
Blackthorne (USA)	Blackthorne ist ein Action-Adventure-Spiel, das auf dem Planeten Tuul spielt. Tuul war ein friedlicher Ort, bis der böse Krieger Sarlac die Macht des Dunkelsteins nutzte, um die Kontrolle zu übernehmen. Blackthornes Vater, der gute König Vlaros, sandte ihn auf die Erde, als sein Königreich um ihn herum zusammenbrach. Jetzt, 20 Jahre später, ist Blackthorne gewachsen und muss nach Tuul zurückkehren, um es aus den Klauen von Sarlac zu befreien.
Brutal - Above the Claw (USA)	Wie beim Original Brutal: Paws of Fury handelt es sich bei dem Spiel um ein vom Dalai Llama organisiertes Kampfsportturnier. Eine Auswahl von 12 anthropomorphen Tieren ist beteiligt; Wählen Sie aus ihnen für die Beat-Em-Up-Action im Cartoon-Stil. Die Charaktere haben jeweils ihren eigenen Kampfstil, eine Reihe von Bewegungen und eine eigene Story. Im Laufe des Spiels schaltest du mehr Moves für jeden Charakter frei. Es gibt auch einen progressiven Eroberungsmodus, der dich herausfordert, das gesamte Brutal Island zu übernehmen.
ClayFighter 2 (USA) (Proto)	ClayFighter 2: Judgement Clay ist die Fortsetzung von ClayFighter und wurde Anfang 1995 für das Super Nintendo Entertainment System veröffentlicht. Zu einem bestimmten Zeitpunkt war es auch für die Veröffentlichung auf dem Sega 32X im selben Zeitraum vorgesehen, aber trotz Werbung wurde diese Veröffentlichung aus unbekannten Gründen abgesagt. Der Titel des Spiels lehnt sich auf den Film Terminator 2: Judgement Day an.
Cosmic Carnage (Japan, USA) (En)	Cosmic Carnage ist ein Einzelkampfspiel im Weltraum. Die Geschichte beginnt, als ein Gefängnisschiff bei einem Fluchtversuch von seiner Fracht entführt wird. Das daraus resultierende Chaos führte dazu, dass der Lastschiff gegen einen Militärkreuzer prallt. Der Aufprall verursachte erhebliche Schäden an beiden Schiffen. Es gab nur 8 Überlebende, 4 von jedem Schiff. Was noch schlimmer ist, es gibt nur eine Rettungskapsel. Du kontrollierst einen der 8 Überlebenden und musst alle anderen erledigen, um lebendig zu fliehen. Das Gameplay in Cosmic Carnage ähnelt Street Fighter 2, ist jedoch viel langsamer. Einige der Kämpfer können mit verschiedenen Rüstungskombinationen angepasst werden, so dass sie auf verschiedene Spezialbewegungen zugreifen können.
Darxide (Europe) (En,Fr,De,Es)	Darxide auf Megadrive 32X ist ein Shoot'em Up. Der Spieler übernimmt die Kontrolle über ein Kampfraumschiff und verteidigt seine Basis gegen Angriffe von Außerirdischen und Asteroiden. Das Spiel ist in 12 Missionen unterteilt und stellt dem Piloten ein vielfältiges Arsenal zur Verfügung (Laser, Kanonen, Bomben).
Doom (Japan, USA) (En)	Doom ist ein Ego-Shooter, der von id Software entwickelt und 1993 veröffentlicht wurde. Es wurde später auf zahlreiche Plattformen portiert, darunter das Sega 32X (als Starttitel). Es wird allgemein als eines der Spiele angesehen, die Pionierarbeit geleistet und das Ego-Shooter-Genre populär gemacht haben, und hat bis heute eine große, engagierte Fangemeinde. Der Spieler übernimmt die Rolle eines namenlosen Space Marines und muss sich durch den Einsatz verschiedener Waffen durch Marsbasen und die Tiefen der Hölle selbst kämpfen.
FIFA Soccer 96 (Europe) (En,Fr,De,Es,It,Sv)	Das erfolgreichste Fußballspiel aller Zeiten ist für das SEGA 32X jetzt noch verbessert und aktualisiert worden. FIFA Soccer '96 bringt Ihnen die Fußballaction der Welt ins Haus. Mehr als 3500 Spieler, 200 Mannschaften und 12 Ligen erwarten Sie! Mit seiner umwerfenden Grafik, 7 Kameraperspektivenm dem 4-Spieler-Modus und der bekannten Optionsvielfalt ist FIFA '96 das Fussballerlebnis schlechthin.
