#key	synopsis
007 James Bond (Japan) (Othello Multivision)	Cuando se trata de acción e intriga rápidas, nadie lo hace mejor que Bond. James Bond. Pero puedes intentarlo cuando representas escenas de cuatro grandes clásicos de películas de James Bond. El vehículo especialmente diseñado de 007 lo llevará en el viaje de su vida, ¡por tierra, aire y bajo el mar! A través de todo, debes evitar los obstáculos, evitar a los enemigos y cumplir cuatro misiones diferentes.
Bank Panic (Japan)	Asume el papel de un sheriff en los Estados Unidos del siglo XIX, protegiendo a un banco de ladrones armados. Hay doce puertas dispuestas en círculo, con el jugador en el centro, que se puede ver de tres en tres. Los ladrones que aparecen desde las puertas deben ser fusilados (después de sacar sus armas, para obtener una puntuación más alta) y los clientes deben ser ignorados mientras hacen un depósito. Una vez que se han hecho los depósitos de las doce puertas, el nivel está completo.
Black Onyx, The (Japan)	El juego tiene lugar en la ciudad de fantasía de Utsuro como una fiesta de hasta cinco héroes valientes (y personalizables) que se adentran en un laberinto subterráneo para encontrar el legendario Black Onyx y romper la maldición de la ciudad.
Bomb Jack (Japan, Australia) (Ja)	Toma el control de Jack y recoge todas las bombas para pasar a la siguiente ronda. Esto no es tan fácil como suena con numerosos enemigos como pájaros, tortugas y momias que se interponen en el camino. Los fondos para los Niveles consisten en ubicaciones reales como; Miami Beach, Sphynx o Sastle Neuschwanstein. Tiene 99 niveles pero una vez que alcanzas 99 el juego salta de vuelta a la ronda 0. Los niveles individuales realmente se repiten mucho antes.
Borderline (Japan, Europe, Australia, New Zealand) (En)	Entra violentamente en la zona de energía maniobrando libremente el jeep rojo. A lo largo de las escenas primera a cuarta, continúe avanzando en un esfuerzo por destruir las fortalezas y las sedes enemigas evitando los ataques de los tanques enemigos, automóviles blindados, aviones y misiles. Comience su invasión a la siguiente escena después de destruir todas las fortalezas de la escena actual en la que está inmerso. Cuando destruye por completo la sede central en la cuarta escena final, la operación estratégica de jeep que lanzó arroja una victoria aplastante para usted !
C_So! (Japan)	C_So! es un juego 1985 SG-1000 desarrollado por Compile y publicado por Sega. Es un puerto de un juego de MSX del mismo año, que fue publicado por Pony Canyon. El juego hace que el jugador recoja varios objetos y derrote a los monstruos mediante el uso de sierras. Para progresar, todos los elementos deben ser recolectados y todos los monstruos deben ser destruidos. También hay un modo de edición, que permite al jugador crear sus propios niveles.
Castle, The (Japan)	El juego tiene una trama bastante estándar, rescatar a una princesa de un castillo, aunque el juego en sí se consideró muy grande para la época. También contiene un sistema de mapas similar al de los juegos posteriores de Metroid y Castlevania.
Chack'n Pop (Japan)	Un primer juego de acción Arcade de Taito y en muchos sentidos un precursor de su mayor éxito Bubble Bobble. El jugador controla el Chack'n pop del mismo nombre mientras intenta evitar que los monstruos destruyan sus huevos.
Challenge Derby (Japan) (Othello Multivision)	Challenge Derby es un juego de carreras de caballos para SG-1000.
Champion Baseball (Japan, Australia, New Zealand) (Ja)	Este es un juego de béisbol totalmente atractivo y emocionante en el que puedes disfrutar de todos los tipos imaginables de patrones de béisbol uno tras otro como en un juego real. Este juego te permite competir contra el equipo de la computadora (el equipo P contra el equipo C). Además, este juego ahora permite que 2 jugadores compitan entre sí y asegura que tu disfrute se verá incrementado al doble.
Champion Billiards (Japan)	Champion Billiards es el primer juego en la serie &quot;Pool Lunar&quot; de Compile y fue lanzado sólo en Japón. A diferencia de los otros juegos de Champion Sports, no es una representación exacta ya que el objetivo es usar la bola roja para hundir las otras bolas.
Champion Boxing (Japan, New Zealand) (Ja)	La emoción se acumula gradualmente a medida que lucha en cada una de las rondas de 90 segundos en esta ronda de 8 asaltos. Tu oponente es un duro luchador rubio joven. Lanza DIRECTO, JAB y UPPERCUT golpea directamente a la cara del oponente o su cuerpo. Mantén la ráfaga de golpes rápidos y furiosos aprovechando tu trabajo de pies superior. Cálmate en el Nivel 1 y luego mejora tus habilidades limpiando consecutivamente los niveles más altos. Si, en el Nivel 5, ganas con un KO de 10, ¡te convertirás en el campeón del mundo!
Champion Golf (Japan, Europe, Australia, New Zealand) (Ja)	Si llueve el domingo ... es día CHAMPION GOLF. Puedes disfrutar de golpear la pelota con el palo apropiado para que coincida con el tiro, caminando por el campo con el caddie sobre sus extensos fairways, roughs, greens, estanques y áreas de bunker. Obtener un &quot;Birdie&quot;, &quot;Eagle&quot; o un asombroso &quot;Hole in One&quot;, o el aún más milagroso &quot;Albatros&quot; te harán sentir como si estuvieras en la cima del mundo.
Champion Ice Hockey (Japan)	Champion Ice Hockey es un juego muy simple en el que juega el equipo Red contra el Blue. Un botón dispara y el otro pasa. Con las direcciones arriba y abajo controlas tanto al portero como la dirección del disparo.
Champion Kendou (Japan)	Champion Kendou es un juego de Kendo creado para SG-1000 y MSX que sólo salió en Japón.
Champion Pro Wrestling (Japan)	Champion Pro Wrestling es un juego de lucha libre desarrollado para SG-1000 y después para MSX. Hay que ganar tres enfrentamiento para alzarte con la victoria.
Champion Soccer (Japan, Europe) (Ja)	Champion Soccer es un juego de fútbol creado para SG-1000 y trasladado por Pony Canyon a MSX.
Champion Tennis (Japan, Europe, Australia, New Zealand) (Ja)	Servir, recibir y aplastar la pelota. Ataca el punto débil de tu rival. ¡Usa todos los rincones de la cancha para tu ventaja y obtén una victoria gloriosa sobre tu oponente! Este es un juego deportivo altamente intelectual y competitivo que requiere nervios y concentración agudos.
Championship Lode Runner (Japan, Australia) (Ja)	Ábrete camino a través del laberinto para encontrar las cámaras secretas llenas de oro. Escalando y saltando a través de un laberinto de escaleras y plataformas, e incluso perforando ladrillos, tu Comando Intergaláctico debe atrapar o matar a los torpes guardias del Imperio que protegen la cámara. Pon a prueba tu estrategia en más de 75 niveles diferentes.
Choplifter (Japan, Australia) (Ja)	Maneja un helicóptero en la mejor aventura de acción de la nación. Bolsillos de rehenes internacionales están atrapados. En todo el mundo En Oriente Medio. En los mares del sur Y en una base secreta en algún lugar de una caverna. Tú mandas un equipo de rescate de helicópteros. Y su trabajo es derribar su helicóptero, rescatar a los rehenes y devolverlos a un lugar seguro. Todo el tiempo esquivando y destruyendo el peligroso fuego enemigo. ¡Un juego de helicóptero lleno de acción en su mejor momento!
Congo Bongo (Japan)	Bongo es un mono travieso que incendia la tienda de safari. El cazador de safaris perdió su tienda y sus posesiones, y busca venganza del simio por su broma práctica. El cazador de safaris persigue a Bongo y atraviesa el peligroso Congo para vengarse
Doki Doki Penguin Land (Japan)	El objetivo básico de Doki Doki Penguin Land es guiar un huevo desde la parte superior de la pantalla hasta la parte inferior. Hacerlo significa cavar hacia abajo, asegurándose de que no se rompa en el proceso. Como rompecabezas de plataformas, todo se ve afectado por la gravedad, y si el huevo cae desde una gran altura, se romperá. El éxito se logra bajando cuidadosamente por el campo de juego.
Dragon Wang (Japan)	El juego fue inspirado por el clásico arcade Kung-Fu Master. Más tarde recibió una secuela llamada Kung Fu Kid. El protagonista es Wang (inspirado en Jackie Chan y / o su personaje Thomas), de ahí el desafortunado título Dragon Wang. Wang es chino para King.
Drol (Japan, Australia) (Ja)	Entra en el mundo de los sueños divertido, desafiante y lleno de suspenso de Drol, donde una pequeña niña pelirroja y su hermanito de hélice esperan tu rescate. Han sido atraídos por la maldición de un hechicero a las ruinas de una civilización perdida en varios niveles. Hipnotizados, deambulan sin rumbo por los pasillos subterráneos, ignorando los peligros que los rodean. Es su tarea - como un héroe equipado con una mochila cohete y alcance de radar de pantalla completa - esquivar saltos de escorpiones, monstruos y serpientes, pavos voladores, espadas, dagas, flechas, imanes, hechiceros y aspiradoras (!) en sus intentos de reunir a los niños con su madre. ¡El sentido del humor irónico de Drol y las imágenes de dibujos animados increíblemente detalladas hacen de este juego un encanto!
Elevator Action (Japan)	Eres el Agente 17 (nombre en clave: &quot; Otto&quot;) . Tu misión es la de asegurar todos los documentos secretos superiores de un edificio de seguridad y escapar en el coche, que se encuentra en el sótano del edificio. Enemigos espías están dispersos por todo el edificio de 30 pisos y tienen una sola misión: ejecutar el Agente 17 a toda costa. Hay varias formas en las que el Agente 17 puede matarlos: Disparar con su arma. Patadas saltando sobre ellos. Disparar una luz en el techo, mientras que están en un ascensor, dejando caer la luz sobre uno de ellos. Aplastarles con un ascensor.
Exerion (Japan, Europe, Australia, New Zealand) (En)	El FIGHTER EX se apresuró a atacar a los monstruosos grupos enemigos en los 6 misteriosos mundos DIMENSIONALES diferentes. El enemigo está constantemente persiguiendo al FIGTHER EX. El misil del figther ataca al enemigo y cae como lluvia de granizo. ¡Estén alerta! El &quot;Dual Beam&quot; te permite disparar contra el enemigo y el &quot;Single Beam&quot; para atacarlo de forma rápida y continua. ¡Mira qué éxito tienes en luchar contra el enemigo a través de los 6 peligrosos mundos!
Flicky (Japan, New Zealand) (Ja)	El pequeño bebé, PIOPIO, se ve tomando el sol en la terraza soleada brillante. Ahora es el momento para que los pequeños PIOPIOS tomen su bocadillo a media tarde, FLCKY, tu madre, viene a llevarte a todos a casa. Volvamos saltando alegremente tomados de la mano con mamá FLICKY. ¡Oh, oh, tenemos un gran problema! El gato callejero malhumorado (NYANNYAN) está por llegar. Escápese saltando sobre él y golpeando martillos y tazas en un esfuerzo por golpear y destruir al gran gato malo. FLICKY, realmente te sentirás aliviado cuando hayas llevado a todos tus PIOPIO de tu bebé a casa, ¿no es así?
Girl's Garden (Japan, Australia) (Ja)	Para evitar que su novio Minto vaya con otra niña pequeña llamada Cocco, Papri debe recoger diez flores diferentes y devolverlas a la casa de su novio. Las flores deben atraparse en plena floración para que la cantidad de flores en su posesión aumente; atrapar flores demasiado temprano considerará que las flores se desperdiciarán y las flores atrapadas demasiado tarde se marchitarán. Las flores marchitas arruinarán el ramo, causando que el jugador pierda la mitad de las flores. Los osos tienen gusto por la miel y hacen que el jugador pierda uno de dos corazones si uno de ellos ataca al jugador. Sin embargo, la miel puede soltarse para hacer que el oso sea temporalmente inofensivo para el jugador. Las abejas aparecen como aliadas del jugador, dándole elementos de bonificación de vez en cuando y miel adicional si el jugador lo atrapa en una flor.
Golgo 13 (Japan)	El juego te hace disparar a las ventanas de un tren que pasa. Golpear objetos que se interpongan hará que la bala rebote y potencialmente te mate.
GP World (Japan)	La mecánica de juego en esta versión de &quot;8 bits&quot; de GP World es similar en concepto al GP World de arcade pero dado el hardware tremendamente diferente, diferente en ejecución. Lo más notable es que todos los gráficos en el juego son generados en tiempo real por el SG-1000 en lugar de ser transmitidos desde un LaserDisc, lo que a su vez conduce a una física del automóvil más predecible. El concepto de carreras en cuatro tipos diferentes de GP se descarta, en su lugar se reemplaza con un GP que abarca el mundo y tres dificultades seleccionables. Al igual que el original, el juego utiliza una perspectiva en tercera persona similar a la de Turbo (aunque la cámara está situada detrás del volante), y ve al jugador competir en un coche de fórmula uno, navegando por el recorrido y evitando a otros conductores. Esta versión también es notable por tener un editor de pistas simplista. Es probable que el controlador SH-400 haya sido diseñado teniendo en cuenta este juego.
