#key	synopsis
5 in One FunPak (USA)	5 in One Fun Pak possui quatro jogos de tabuleiro e um jogo de dados. Os jogos em destaque são Xadrez, Damas, Gamão, Reversi e Yacht (usando as regras de General). Você pode optar por jogar um jogador contra o computador ou dois jogadores. Você pode selecionar seus níveis de habilidade para a maioria dos jogos de 1 (mais fácil) a 3 (mais difícil), embora o jogo de Xadrez tenha habilidades de 1 a 6 e o Yacht não tenha seleção de habilidades.
Aa Harimanada (Japan)	Aa Harimanada é um jogo de luta de sumô de 1993 da Sega para o Sega Game Gear, baseado no anime Aa Harimanada da TV Tokyo. O jogo é um típico jogo de luta com várias combinações de botões fazendo algo diferente.
Addams Family, The (World)	A FAMÍLIA ADDAMS foi despejada! Para salvar sua casa de Tully Alford, o advogado da família, que está atrás de sua fortuna - Mortícia, Tropeço, Vovó, Feioso e Wandinha, foram à casa discutir com ele. Mas quando Gomez chega, sua família estava desaparecida! Como Gomez, você deve salvar seus entes queridos, sua casa e sua riqueza. Libertar sua família custará dinheiro, bolsas e sacolas; mas, felizmente, você encontrará esconderijos escondidos em toda a casa. Você terá que tomar cuidado com obstáculos assustadores, como espinhos caindo, monstros assustadores e fantasmas. Você precisará procurar por pistas e desvendar muitos enigmas misteriosos enquanto procura por sua família. Você pode até precisar de alguma Coisa para ajudá-lo - mas você terá que encontrá-la primeiro! Siga em frente... porque você vai ligar para a FAMÍLIA ADDAMS!
Adventures of Batman & Robin, The (USA, Europe, Brazil) (En)	Santo golpe baixo!! Quando a escória de Gotham City decide tirar alguém de seu caminho, eles não medem esforços. É claro que este alguém não poderia ser outro além de Batman, o Cavaleiro das Trevas. E desta vez, o Coringa bolou um plano realmente maquiavélico! O mais piadista dos vilões raptou Robin, e está usando o Menino-Prodígio como isca para atrair o Home Morcego a uma perigosa competição onde a única regra é: &quot;Façam o que for preciso, mas acabem com Batman&quot;. E adivinhem só quem foi que criou esta regra? Agora a vida de Robin está em suas mãos. Pegue o Bat-Cinto e todas as Bat-Armas que puder carregar pois a partir de agora você vai atravessar Gotham City em busca de seu parceiro. Mas não esqueça de um detalhe muito importante: você está numa caçada em que a presa é você. Qualquer bobeada e adeus Dupla Dinâmica!!!
Aerial Assault (World)	Estamos no ano de 2015. O cenário não é nada animador. O mundo está subjulgado ao poderio militar de ua organização terrorista chamada NAC. Ninguém tevecoragem de enfrentálos. Pelo menos até hoje... Você é o líder de um grupo de renegados, antes aliado das forças da NAC, mas que agora os tem como maiores inimigos. Pilotando o mais moderno caça de combate do mundo, você será o responsável por conter o avanço deste numeroso exército do Mal. Eles já foram longe demais. Se você falhar, os habitantes da Terra nunca mais voltarão a viver em liberdade. Boa sorte !!
Aladdin (USA, Europe, Brazil) (En)	Meu caro amigo... esfregue esta embalagem mágica que 3 desejos seus serão realizados. 1º: Será concedida a você a maior aventura de todos os tempos. Você será levado à Arábia e entrará na pele do próprio Aladdin, com direito a namorar a princesa Jasmine, voar de tapete mágico, virar um príncipe e ganhar a amizade do macaquinho mais simpático do mundo. 2º: Você ganhará a habilidade necessária para atravessar as 6 fases de Aladdin, incluindo a Caverna dos Tesouros, os Telhados de Agrabah e o Palácio do Sultão, enfrentando os soldados e a magia negra do malvado Jafar. 3º e último: Você terá direito a mil e uma noites de diversão, animadas por 4 Mega de incríveis gráficos e pela trilha sonora que ganhou até um Oscar da Academia®! Agora, se ainda assim você não gostar de Aladdin... nem um Gênio resolve seu problema!
Alien 3 (USA, Europe)	No espaço, ninguém pode ouvir os seus gritos... A oficial Ripley pensou que já havia passado por todos os tipos de desafios, e que agora nada mais a assustaria. Finalmente ela estava voltando para casa ! Ao seu lado estavam Newt e Hicks, os únicos sobreviventes da sua antiga equipe. Mas o pesadelo ainda não tinha acabado. Uma pane no motor fez com que a sua nave caísse em um planeta distante e sombrio, Fiorina - 161. Com o impacto, Newt e Hicks morreram, e Ripley ficou completamente sozinha... Fiorina - 161 não é um lugar comum. É escuro. Frio. Como se não bastasse, foi transformado em prisão, e hoje abriga os piores criminosos. Bom, pelo menos é alguma companhia ! Mas eles não são os únicos habitantes deste lugar. Atrás de você, há criaturas repugnantes, com dentes afiados e, o que é pior: têm ácido nas veias !! Pouco a pouco elas começam a agir, matando os prisioneiros das formas mais estranhas. Você sente um arrepio percorrer o seu corpo, e logo percebe o que tem que fazer: achá-los antes que eles te achem ! Você respira fundo e parte para a caçada. A tensão é total. O único barulho que você escuta são as batidas do seu coração... Sinal de que os aliens estão perto !
Alien Syndrome (Europe)	Os extra-terrestres neste jogo são tudo menos amigáveis. Eles são monstros viscosos que estão mantendo colonos espaciais cativos a bordo de sete naves alienígenas. Este super jogo de ação desafia você a libertar os reféns indefesos. Procure nas fases mortais de cada nave, usando lança-chamas e canhões laser para vaporizar a escória alienígena. Procure mapas para ajudá-lo a encontrar o caminho. Depois de salvar todos os prisioneiros de uma nave, você deve destruir seu poderoso líder antes de poder avançar para a próxima nave. Lembre-se, para os alienígenas, você é um lodo. E eles querem você bem... morto!
Andre Agassi Tennis (USA)	A explosiva forehand de Andre Agassi é sua! Seja Agassi ou jogue contra Agassi. Pela primeira vez, ganhe muito dinheiro com as partidas 'skins', onde as apostas dobram a cada retorno. Com 4 quadras, 8 jogadores empolgantes, cada um com diferentes estilos de jogo e um árbitro que chama todas as jogadas, Andre Agassi Tennis não pode ser derrotado.
Arcade Classics (USA)	Missile Command and Centipede estão de volta e melhores do que nunca! Os jogos originais estão aqui, além de versões especialmente modificadas da Sega que trazem esses clássicos dos anos 80 para os anos 90! Mas a diversão para por aí? De jeito nenhum, você também terá o video game original - Pong! MISSILE COMMAND - Abata a entrada dos mísseis balísticos intercontinentais ou será o dia do juízo final. CENTIPEDE - O jogo tem INSETOS! PONG - A Mãe de Todos os Video Games!
